week,condition,ab_grader,humanAB,humanC,gemini,z_humanAB,z_humanC,z_gemini,composite
1,default,A,2.0,9.5,10.0,-1.847636725086917,0.9759900530077747,1.1265943907837657,0.08498257290154114
2,default,A,4.0,8.7,5.0,0.2120238864853841,0.5727641156148909,-0.685356817709473,0.03314372813026734
2,neutral,A,4.5,8.3,7.22,0.7269390393784594,0.37115114691844997,0.11914951886152486,0.40574656838614476
2,novelty,A,4.5,8.4,8.75,0.7269390393784594,0.4215543890925602,0.673606588660456,0.6073666723771585
2,reliability,A,4.5,8.2,6.04,0.7269390393784594,0.3207479047443388,-0.30847096634287935,0.2464053259266396
3,default,B,0.0,0.0,0.0,-1.870531807136845,-3.812317953532716,-2.4973080262027114,-2.7267192622907577
3,neutral,B,0.0,0.0,0.0,-1.870531807136845,-3.812317953532716,-2.4973080262027114,-2.7267192622907577
3,novelty,B,3.5,8.3,6.3,-0.8729148433305277,0.37115114691844997,-0.214249503501231,-0.23867106663776957
3,reliability,B,1.0,7.0,0.94,-1.5854983889064687,-0.284091001344986,-2.1566611990059825,-1.3420835297524791
4,default,B,9.0,8.4,10.0,0.6947689569365425,0.4215543890925602,1.1265943907837657,0.7476392456042895
4,neutral,B,8.5,7.6,7.75,0.5522522478213543,0.018328451699676413,0.3112163469618083,0.293932348827613
4,novelty,B,9.0,7.7,8.96,0.6947689569365425,0.06873169387378711,0.7497085394171723,0.5044030634091673
4,reliability,B,5.0,8.4,9.67,-0.44536471598496313,0.4215543890925602,1.007005611023212,0.3277317613769363
5,default,B,6.0,7.2,6.94,-0.1603312977545867,-0.18328451699676504,0.017680251185903734,-0.10864518785514934
5,neutral,B,10.0,8.3,8.06,0.9798023751669188,0.37115114691844997,0.42355732188838924,0.5915036146579193
5,novelty,B,10.0,7.9,10.0,0.9798023751669188,0.16953817822200806,1.1265943907837657,0.7586449813908975
5,reliability,B,9.0,8.0,6.25,0.6947689569365425,0.2199414203961183,-0.23236901558616332,0.22744712058216582
6,default,B,8.0,7.8,9.38,0.4097355387061661,0.11913493604789736,0.9019124409306043,0.4769276385615559
6,neutral,B,10.0,8.0,10.0,0.9798023751669188,0.2199414203961183,1.1265943907837657,0.775446062115601
6,novelty,B,9.5,7.6,6.56,0.8372856660517306,0.018328451699676413,-0.12002804065958268,0.2451953590306081
6,reliability,B,6.5,7.6,5.0,-0.017814588639398523,0.018328451699676413,-0.685356817709473,-0.22828098488306503
7,default,A,3.0,7.4,4.16,-0.8178064193007665,-0.08247803264854409,-0.9897646207363371,-0.6300163575618826
7,neutral,A,5.0,7.3,5.28,1.2418541922715347,-0.13288127482265477,-0.5838875500338515,0.17502845580500948
7,novelty,A,4.5,8.4,5.83,0.7269390393784594,0.4215543890925602,-0.38457291709959535,0.25464017045714143
7,reliability,A,5.5,8.3,6.67,1.75676934516461,0.37115114691844997,-0.08016511407273132,0.6825851260034429
8,default,A,3.0,8.6,9.38,-0.8178064193007665,0.5223608734407806,0.9019124409306043,0.20215563169020614
8,neutral,A,4.0,8.7,8.12,0.2120238864853841,0.5727641156148909,0.44530073639030765,0.4100295794968609
8,novelty,A,3.0,7.9,6.88,-0.8178064193007665,0.16953817822200806,-0.004063163316015308,-0.21744380146492456
8,reliability,A,5.0,7.9,8.12,1.2418541922715347,0.16953817822200806,0.44530073639030765,0.6188977022946168
9,default,A,3.0,8.0,8.59,-0.8178064193007665,0.2199414203961183,0.6156241499886723,0.0059197170280080496
9,neutral,A,2.5,8.1,8.44,-1.3327215721938417,0.27034466257022854,0.561265613733875,-0.16703709862991273
9,novelty,A,3.0,7.6,3.12,-0.8178064193007665,0.018328451699676413,-1.3666504721029307,-0.7220428132346736
9,reliability,A,3.5,8.5,10.0,-0.3028912664076912,0.47195763126667045,1.1265943907837657,0.43188691854758166
