student_id,week,policy,combined_all_asgn_score,combined_all_memo_score,conv_length,conv_length_log,conv_round,total_session_duration_minutes,event_request_count,session_count,active_days,perceived_performance,prior_prog_exp,prior_ml_exp,bias_pooled,direction
student_001,1,DEFAULT,9.296666666666669,,7744.0,8.954802752850968,69.0,82.36666666666666,262.0,3.0,3.0,,3.0,3.0,No Bias,None
student_001,2,DEFAULT,7.563333333333333,7.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_001,3,NOVELTY_BIASED,,7.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,Biased,Novelty
student_001,4,DEFAULT,,7.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_001,5,DEFAULT,,7.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_001,7,DEFAULT,9.446666666666667,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_001,8,DEFAULT,8.89,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_001,9,DEFAULT,9.27,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,No Bias,None
student_002,1,DEFAULT,9.166666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_002,2,DEFAULT,9.37,5.599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_002,3,DEFAULT,7.053333333333334,6.933333333333334,64.0,4.174387269895637,3.0,0.7833333333333333,7.0,2.0,1.0,,2.0,2.0,No Bias,None
student_002,4,RELIABILITY_BIASED,8.736666666666666,6.6000000000000005,15378.0,9.640758221439924,45.0,160.1,205.0,8.0,3.0,4.0,2.0,2.0,Biased,Reliability
student_002,5,DEFAULT,9.083333333333334,6.266666666666667,1405.0,7.2485040723706105,7.0,8.983333333333334,48.0,2.0,1.0,5.0,2.0,2.0,No Bias,None
student_002,6,DEFAULT,9.686666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_002,7,DEFAULT,9.443333333333332,7.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_002,8,DEFAULT,9.043333333333331,6.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_003,1,DEFAULT,8.926666666666668,,71820.0,11.181932191381275,141.0,385.4833333333333,400.0,12.0,5.0,,2.0,2.0,No Bias,None
student_003,2,DEFAULT,9.416666666666666,8.033333333333333,39841.0,10.59267691124173,122.0,385.45,463.0,10.0,4.0,7.0,2.0,2.0,No Bias,None
student_003,3,DEFAULT,8.313333333333333,8.666666666666666,196996.0,12.190943779177775,212.0,562.6833333333334,651.0,15.0,6.0,5.0,2.0,2.0,No Bias,None
student_003,4,DEFAULT,9.303333333333333,8.766666666666667,19146.0,9.859901324373205,28.0,217.43333333333337,56.0,2.0,2.0,5.0,2.0,2.0,No Bias,None
student_003,5,DEFAULT,8.766666666666667,8.266666666666667,63798.0,11.063492795228852,83.0,448.75,390.0,13.0,4.0,4.0,2.0,2.0,No Bias,None
student_003,6,RELIABILITY_BIASED,9.896666666666668,8.566666666666666,177132.0,12.084656141816367,188.0,948.8833333333332,745.0,18.0,5.0,6.0,2.0,2.0,Biased,Reliability
student_003,7,DEFAULT,9.536666666666669,8.133333333333333,48580.0,10.79098778694702,155.0,896.65,329.0,28.0,5.0,5.0,2.0,2.0,No Bias,None
student_003,8,DEFAULT,8.07,7.466666666666666,35272.0,10.470873077735911,138.0,872.5833333333333,715.0,29.0,7.0,,2.0,2.0,No Bias,None
student_003,9,NOVELTY_BIASED,,7.733333333333333,264275.0,12.484749290566892,208.0,965.8166666666666,974.0,41.0,6.0,,2.0,2.0,Biased,Novelty
student_006,1,DEFAULT,9.443333333333332,,876.0,6.776506992372183,15.0,53.28333333333333,50.0,2.0,1.0,6.0,2.0,2.0,No Bias,None
student_006,2,RELIABILITY_BIASED,6.786666666666666,8.233333333333333,69908.0,11.154949675298448,218.0,223.46666666666667,614.0,9.0,4.0,,2.0,2.0,Biased,Reliability
student_006,3,DEFAULT,7.936666666666667,7.5,13501.0,9.510593101601815,56.0,47.13333333333334,106.0,4.0,2.0,,2.0,2.0,No Bias,None
student_006,4,DEFAULT,9.013333333333334,8.700000000000001,16081.0,9.685455913108095,102.0,107.8,210.0,6.0,3.0,6.0,2.0,2.0,No Bias,None
student_006,5,DEFAULT,8.703333333333333,8.1,36381.0,10.501829425822162,206.0,214.56666666666663,580.0,7.0,3.0,,2.0,2.0,No Bias,None
student_006,6,DEFAULT,8.873333333333333,8.333333333333334,9.0,2.302585092994046,1.0,2.6666666666666665,1.0,1.0,1.0,,2.0,2.0,No Bias,None
student_006,8,DEFAULT,,8.266666666666667,8054.0,8.994048295611075,30.0,206.46666666666667,198.0,10.0,3.0,,2.0,2.0,No Bias,None
student_006,9,DEFAULT,,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_007,1,DEFAULT,8.833333333333334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_007,2,DEFAULT,7.38,6.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_007,4,DEFAULT,9.82,8.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_007,5,DEFAULT,9.436666666666667,7.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,No Bias,None
student_007,6,DEFAULT,10.0,7.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,No Bias,None
student_007,7,DEFAULT,9.63,8.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,No Bias,None
student_007,8,DEFAULT,9.863333333333332,7.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,No Bias,None
student_007,9,NOVELTY_BIASED,9.533333333333331,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,Biased,Novelty
student_012,1,DEFAULT,9.296666666666669,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,No Bias,None
student_012,2,NOVELTY_BIASED,9.63,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,Biased,Novelty
student_012,3,DEFAULT,9.446666666666667,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_012,4,DEFAULT,8.223333333333334,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_012,5,DEFAULT,8.973333333333334,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_012,6,DEFAULT,8.126666666666667,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,No Bias,None
student_012,7,DEFAULT,7.816666666666667,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_012,8,DEFAULT,8.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_013,1,DEFAULT,9.073333333333332,,126.0,4.844187086458591,3.0,1.2666666666666666,6.0,1.0,1.0,6.0,1.0,1.0,No Bias,None
student_013,2,DEFAULT,8.61,6.533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_013,3,DEFAULT,7.413333333333334,7.966666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_013,4,DEFAULT,9.86,8.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_013,6,DEFAULT,8.96,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,No Bias,None
student_013,7,NOVELTY_BIASED,7.686666666666667,8.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Biased,Novelty
student_013,8,DEFAULT,8.0,6.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_013,9,DEFAULT,9.793333333333337,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,No Bias,None
student_015,1,DEFAULT,9.816666666666666,,276.0,5.6240175061873385,7.0,13.383333333333333,18.0,1.0,1.0,,2.0,2.0,No Bias,None
student_015,2,DEFAULT,9.166666666666666,8.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_015,3,NOVELTY_BIASED,9.01,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Biased,Novelty
student_015,4,DEFAULT,9.833333333333334,7.966666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_015,5,DEFAULT,9.673333333333334,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_015,6,RELIABILITY_BIASED,9.833333333333334,8.066666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Biased,Reliability
student_015,7,DEFAULT,10.0,8.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_015,8,DEFAULT,10.0,8.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_015,9,DEFAULT,,8.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_016,1,DEFAULT,9.536666666666669,,17798.0,9.786897554926753,165.0,322.55,310.0,5.0,4.0,6.0,1.0,1.0,No Bias,None
student_016,2,DEFAULT,8.233333333333334,7.0,142749.0,11.868850127518257,374.0,539.5666666666667,742.0,10.0,4.0,6.0,1.0,1.0,No Bias,None
student_016,3,RELIABILITY_BIASED,8.700000000000001,7.2,111411.0,11.620990320602132,297.0,352.66666666666663,868.0,3.0,2.0,,1.0,1.0,Biased,Reliability
student_016,4,DEFAULT,8.65,8.833333333333334,49307.0,10.80584161867141,100.0,279.4166666666667,189.0,2.0,2.0,,1.0,1.0,No Bias,None
student_016,6,DEFAULT,9.583333333333334,9.233333333333333,58921.0,10.983969814331768,128.0,257.0833333333333,246.0,3.0,1.0,,1.0,1.0,No Bias,None
student_016,7,DEFAULT,,8.5,4930.0,8.503297086224126,23.0,26.8,59.0,2.0,2.0,,1.0,1.0,No Bias,None
student_016,8,DEFAULT,,7.566666666666666,29097.0,10.278424722275334,97.0,309.3,382.0,9.0,4.0,,1.0,1.0,No Bias,None
student_016,9,DEFAULT,,9.333333333333334,11054.0,9.310638093291546,96.0,440.43333333333334,342.0,11.0,5.0,,1.0,1.0,No Bias,None
student_017,1,DEFAULT,8.906666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,2,DEFAULT,5.890000000000001,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,3,DEFAULT,8.41,7.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,4,DEFAULT,9.736666666666666,8.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,5,RELIABILITY_BIASED,9.273333333333332,7.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,Biased,Reliability
student_017,6,DEFAULT,8.479999999999999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,8,DEFAULT,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_017,9,DEFAULT,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_021,1,DEFAULT,9.166666666666666,,25119.0,10.131419620582134,107.0,155.18333333333334,363.0,6.0,2.0,4.0,3.0,2.0,No Bias,None
student_021,2,DEFAULT,8.979999999999999,8.1,7780.0,8.95944014361693,16.0,20.366666666666667,81.0,1.0,1.0,,3.0,2.0,No Bias,None
student_021,3,DEFAULT,7.986666666666667,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,No Bias,None
student_021,4,DEFAULT,8.82,8.1,107732.0,11.587411222896774,427.0,559.7,1308.0,7.0,4.0,6.0,3.0,2.0,No Bias,None
student_021,6,DEFAULT,9.583333333333334,5.966666666666666,37541.0,10.533215585226419,124.0,113.45,388.0,6.0,4.0,,3.0,2.0,No Bias,None
student_021,7,DEFAULT,,7.6,5692.0,8.646992628951082,70.0,58.016666666666666,251.0,4.0,4.0,,3.0,2.0,No Bias,None
student_021,8,RELIABILITY_BIASED,,7.833333333333333,12146.0,9.404837504700271,36.0,190.8,235.0,6.0,4.0,,3.0,2.0,Biased,Reliability
student_021,9,DEFAULT,,7.833333333333333,10614.0,9.270023374137356,89.0,535.3166666666666,437.0,7.0,4.0,,3.0,2.0,No Bias,None
student_022,1,DEFAULT,,,136.0,4.919980925828125,4.0,0.4333333333333333,4.0,1.0,1.0,,3.0,2.0,No Bias,None
student_022,3,DEFAULT,5.71,7.5,58357.0,10.974351732001512,190.0,183.15,660.0,2.0,1.0,,3.0,2.0,No Bias,None
student_022,5,DEFAULT,8.229999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,No Bias,None
student_022,6,DEFAULT,10.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,No Bias,None
student_022,7,DEFAULT,9.073333333333332,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,No Bias,None
student_022,8,DEFAULT,9.026666666666666,6.966666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,No Bias,None
student_022,9,DEFAULT,9.146666666666668,8.4,27297.0,10.21456871841614,80.0,153.75,204.0,3.0,1.0,4.0,3.0,2.0,No Bias,None
student_023,1,DEFAULT,9.906666666666666,,35478.0,10.476696251133417,59.0,76.05,138.0,3.0,2.0,5.0,2.0,2.0,No Bias,None
student_023,2,DEFAULT,9.33,8.25,3515.0,8.165079258805068,5.0,2.433333333333333,32.0,1.0,1.0,,2.0,2.0,No Bias,None
student_023,4,DEFAULT,9.763333333333334,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_023,5,DEFAULT,9.34,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_023,6,RELIABILITY_BIASED,8.916666666666666,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Biased,Reliability
student_023,7,DEFAULT,10.0,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_023,8,DEFAULT,9.793333333333337,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_023,9,DEFAULT,9.653333333333334,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,No Bias,None
student_024,1,DEFAULT,9.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,No Bias,None
student_024,2,DEFAULT,9.79,8.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_024,3,DEFAULT,9.413333333333334,8.633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,No Bias,None
student_024,4,DEFAULT,9.86,8.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,No Bias,None
student_024,5,NOVELTY_BIASED,9.573333333333332,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,Biased,Novelty
student_024,6,DEFAULT,9.896666666666668,9.366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_024,7,DEFAULT,,9.233333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_024,9,DEFAULT,,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,No Bias,None
student_028,1,DEFAULT,7.260000000000001,,3571.0,8.18088094199639,49.0,77.56666666666666,125.0,6.0,2.0,5.0,2.0,1.0,No Bias,None
student_028,2,DEFAULT,8.083333333333334,6.066666666666666,1210.0,7.099201743553092,9.0,3.566666666666667,22.0,2.0,2.0,5.0,2.0,1.0,No Bias,None
