student_id,week,coding_regrade
student_001,1,9.5
student_001,2,8.75
student_001,6,8.75
student_001,7,10
student_001,8,9.5
student_001,9,9.75
student_002,1,9.25
student_002,2,9.25
student_002,3,7.75
student_002,4,8.5
student_002,5,9
student_002,6,9.75
student_002,7,9.75
student_002,8,9
student_003,1,9.4
student_003,2,9.25
student_003,3,9.5
student_003,4,10
student_003,5,9.5
student_003,6,9.5
student_003,7,10
student_003,8,8.25
student_006,1,9.75
student_006,2,7.25
student_006,3,8.15
student_006,4,8.5
student_006,5,8.5
student_006,6,8
student_006,7,8.5
student_007,1,9.3
student_007,2,7.75
student_007,3,9.65
student_007,4,10
student_007,5,9.5
student_007,6,10
student_007,7,10
student_007,8,9.75
student_007,9,9.5
student_012,1,9.5
student_012,2,10
student_012,3,10
student_012,4,10
student_012,5,9.5
student_012,6,9.25
student_012,7,8.75
student_012,8,8
student_013,1,9.5
student_013,2,8.5
student_013,3,8
student_013,4,10
student_013,5,9.5
student_013,6,7.75
student_013,7,10
student_013,8,8
student_013,9,9.75
student_015,1,9.5
student_015,2,10
student_015,3,9.4
student_015,4,9.35
student_015,5,9.75
student_015,6,9.75
student_015,7,10
student_015,8,10
student_016,1,9.9
student_016,2,8.25
student_016,3,9.75
student_016,4,8.75
student_016,5,6.75
student_016,6,9.75
student_017,1,8
student_017,2,6.25
student_017,3,9.5
student_017,4,10
student_017,5,9.5
student_017,6,8
student_017,7,10
student_021,1,10
student_021,2,9.5
student_021,3,9.8
student_021,4,10
student_021,5,9.5
student_021,6,9.75
student_022,3,7.25
student_022,4,7.5
student_022,5,7.5
student_022,6,10
student_022,7,10
student_022,8,10
student_022,9,8.75
student_023,1,9.9
student_023,2,9.5
student_023,3,8.5
student_023,4,9.35
student_023,5,7.75
student_023,6,8.75
student_023,7,10
student_023,8,9.5
student_023,9,9.5
student_024,1,8.75
student_024,2,10
student_024,3,10
student_024,4,10
student_024,5,9.5
student_024,6,9.5
student_028,1,8.75
student_028,2,8
student_028,3,7.5
student_028,6,8.5
student_028,7,9
student_028,8,8.25
student_031,2,7.5
student_031,3,8.9
student_031,4,9.5
student_031,5,9
student_031,6,8
student_031,7,8.25
student_031,8,8.5
student_032,1,8.15
student_032,2,7.75
student_032,3,10
student_032,4,9.75
student_032,5,6.75
student_032,6,8.5
student_032,7,9.5
student_033,1,9.9
student_033,3,9.75
student_033,5,9
student_033,6,9.5
student_033,7,9.25
student_033,8,8.5
student_035,1,8.5
student_035,2,9.25
student_035,4,9
student_035,5,9.25
student_035,7,9.25
student_035,8,8.5
student_035,9,9.4
student_036,1,9
student_036,4,7.5
student_036,6,8.5
student_036,8,7
student_036,9,9.25
student_037,1,7
student_037,2,8.25
student_037,3,9.5
student_037,4,9.1
student_037,5,6
student_037,6,9
student_037,7,8.75
student_037,8,7
student_038,1,9
student_038,2,8.5
student_038,3,10
student_038,4,9.9
student_038,5,7.5
student_038,6,8.75
student_038,7,9.75
student_038,9,9.75
student_039,1,9.35
student_039,2,9.75
student_039,3,9.4
student_039,4,9.75
student_039,5,9.75
student_039,6,9.5
student_039,7,10
student_040,1,10
student_040,2,8.5
student_040,3,7.5
student_040,4,9.9
student_040,5,10
student_040,6,9.75
student_040,7,10
student_042,1,8.75
student_042,3,9.75
student_042,5,7
student_042,7,3.5
student_042,8,8.25
student_042,9,9.4
student_043,2,9
student_043,3,8.6
student_043,4,10
student_043,5,9.75
student_043,6,9
student_043,7,10
student_044,1,8.4
student_044,2,9.25
student_044,3,9.5
student_044,4,10
student_044,5,8.75
student_044,6,10
student_044,7,9
student_044,8,9.25
student_045,1,9.85
student_045,2,8.25
student_045,3,10
student_045,4,9.5
student_045,5,9.5
student_045,7,10
student_046,1,8.15
student_046,2,9.5
student_046,3,10
student_046,5,8.5
student_046,8,7.25
student_046,9,8.75
student_049,1,9.75
student_049,2,9.25
student_049,4,9.9
student_049,5,10
student_049,6,10
student_049,7,9.25
student_049,8,10
student_049,9,9.75
student_050,1,8.25
student_050,2,7
student_050,3,9.5
student_050,4,9.75
student_050,5,9.25
student_050,6,9.25
student_050,7,10
student_050,8,10
student_052,1,10
student_052,2,9.5
student_052,3,9.6
student_052,5,9.5
student_052,6,9
student_052,7,6.75
student_053,1,9.25
student_053,2,8.75
student_053,3,10
student_053,4,9.8
student_053,5,9
student_053,6,9.5
student_053,7,10
student_053,8,9.75
student_054,1,8.5
student_054,2,7.25
student_054,3,8.05
student_054,4,8.5
student_054,5,8.25
student_054,6,9.5
student_054,7,8.25
student_054,8,9.5
student_055,1,10
student_055,2,6.75
student_055,3,1
student_055,4,7.5
student_055,5,6.75
student_055,6,9
student_055,7,5
student_055,8,8.5
student_058,1,9.05
student_058,3,8.5
student_058,4,9
student_058,5,8.75
student_058,6,6
student_058,8,4.5
student_058,9,8.75
student_062,3,5
student_062,4,7.5
student_062,5,7
student_062,9,5
student_063,1,9.5
student_063,2,6.25
student_063,3,9.8
student_063,4,8.5
student_063,5,9
student_063,6,7.25
student_063,7,8
student_063,8,7
student_064,1,6.75
student_064,2,8.25
student_064,3,8.5
student_064,4,8.5
student_064,5,7.5
student_064,6,9
student_064,7,9.75
student_064,8,10
