student_id,week,behavioral,cognitive,emotional,autonomy,social_presence,overall_engagement,n_exchanges,n_chars,truncated,model,status
student_002,3,2,2,1,1,2,Moderate,3,408,False,gpt-5.5,annotated
student_002,5,3,2,1,2,1,Moderate,7,11631,False,gpt-5.5,annotated
student_001,1,3,2,1,2,1,Moderate,69,114215,False,gpt-5.5,annotated
student_002,4,3,3,2,3,2,High,45,178828,False,gpt-5.5,annotated
student_002,9,2,1,1,1,1,Low,5,731,False,gpt-5.5,annotated
student_003,2,3,3,2,3,2,High,122,513683,False,gpt-5.5,annotated
student_003,1,3,3,2,3,2,High,141,628438,False,gpt-5.5,annotated
student_003,3,3,3,2,3,2,High,212,1279630,False,gpt-5.5,annotated
student_003,4,3,3,2,3,2,High,28,194355,False,gpt-5.5,annotated
student_003,5,3,3,2,3,1,Moderate,83,302428,False,gpt-5.5,annotated
student_003,6,3,3,2,3,2,High,188,1271460,False,gpt-5.5,annotated
student_003,7,3,3,2,3,1,Moderate,155,1400085,True,gpt-5.5,annotated
student_003,8,3,3,2,3,1,Moderate,138,862897,False,gpt-5.5,annotated
student_006,1,3,2,1,2,1,Moderate,15,5857,False,gpt-5.5,annotated
student_003,9,3,3,2,3,2,High,208,1400085,True,gpt-5.5,annotated
student_006,3,3,3,2,3,1,Moderate,56,164818,False,gpt-5.5,annotated
student_006,2,3,3,2,3,1,Moderate,218,727275,False,gpt-5.5,annotated
student_006,6,0,0,0,0,0,Very Low,1,97,False,gpt-5.5,annotated
student_006,5,3,3,2,3,1,Moderate,206,511745,False,gpt-5.5,annotated
student_006,4,3,3,2,3,2,High,102,195620,False,gpt-5.5,annotated
student_006,7,3,2,2,2,1,Moderate,110,328389,False,gpt-5.5,annotated
student_013,1,1,1,1,2,1,Low,3,1077,False,gpt-5.5,annotated
student_006,8,3,3,2,3,2,High,30,56894,False,gpt-5.5,annotated
student_015,1,1,1,1,1,1,Low,7,5743,False,gpt-5.5,annotated
student_016,1,3,3,2,3,3,High,165,387532,False,gpt-5.5,annotated
