team_size,words,visuals,novelty_z,n_biased_mean,log_min_biased_mean,log_min_total_mean,human_essay,gpt_essay,gemini_essay,innov_gemini,innov_gpt,innov_mean,doc_code
4,6763,38,0.08791277200170558,1.0,1.6144664582401138,2.3944422713379114,9.0,6.5,8.5,9.5,9.0,9.25,proj_07
4,5815,29,1.8663348606998795,0.75,0.0,0.14462106805995137,8.0,7.5,9.0,9.5,8.5,9.0,proj_01
1,4433,17,-0.17673050097727516,1.0,0.0,4.294787959126619,8.833333333333334,7.5,10.0,9.5,8.5,9.0,proj_21
1,3689,14,-0.7159805293871686,,,,,,,9.5,8.5,9.0,
1,3918,15,0.46217204916862636,1.0,0.0,0.0,7.833333333333333,7.5,10.0,9.5,7.0,8.25,proj_12
1,3566,15,-0.8840936294915773,1.0,0.0,3.0492730404820207,7.666666666666667,8.0,10.0,9.0,8.0,8.5,proj_09
1,4139,17,-0.469782139109682,,,,,,,9.5,7.5,8.5,
1,7785,20,-0.24789021023932023,,,,,,,9.5,9.0,9.25,
2,7885,50,0.41929953383445856,1.5,2.3336811031222693,4.9452626184370505,8.333333333333334,8.5,10.0,9.5,8.5,9.0,proj_08
3,6384,21,1.1027895036998383,1.0,0.0,0.005509767317070188,7.333333333333333,6.5,9.5,8.0,6.0,7.0,proj_04
1,4004,16,0.24631632778863738,1.0,4.100437076221258,5.1189913187338805,8.0,7.0,10.0,8.5,7.5,8.0,proj_11
3,7083,18,-1.572112577116463,0.6666666666666666,3.7583325790730164,6.961775726151084,8.833333333333334,7.0,10.0,10.0,8.5,9.25,proj_03
1,3327,17,-0.2635785184155516,2.0,6.556162636338462,8.05143122027286,8.5,6.5,9.5,9.5,8.5,9.0,proj_10
1,6630,14,0.22408661187506923,0.0,0.0,1.7972996496036704,7.333333333333333,5.5,7.5,4.5,6.0,5.25,proj_13
1,2299,25,1.5608934926919114,1.0,0.0,4.149726708073685,8.666666666666666,6.0,9.0,10.0,8.5,9.25,proj_16
1,16414,30,-0.8863352195596496,2.0,7.004140638149679,8.22182386985341,8.166666666666666,6.5,9.5,9.0,8.5,8.75,proj_20
1,5287,22,1.4784479748469144,1.0,2.8791984572980396,6.5377297059133515,9.0,8.0,10.0,9.5,8.5,9.0,proj_22
4,7340,30,-1.1014465322282267,1.25,2.656924774098848,4.242370654831692,9.0,8.5,10.0,10.0,8.5,9.25,proj_02
4,4568,27,-1.4496578371302977,1.0,1.81422026237013,4.395699541696277,7.5,8.0,9.5,9.5,7.5,8.5,proj_06
2,5243,23,-0.2573587617357358,1.0,0.0,2.3866823229086425,8.5,6.0,4.5,9.5,8.5,9.0,proj_05
1,4213,13,0.2920297445805745,,,,,,,9.5,7.5,8.5,
1,4284,10,-0.0703320530759941,1.0,4.054679305829669,6.932301539400137,7.5,6.5,7.5,9.0,7.5,8.25,proj_18
1,4445,21,2.0459662479062266,0.0,0.0,5.441334873382962,8.5,8.0,8.5,9.0,7.5,8.25,proj_17
1,3977,12,-1.6035662451442232,1.0,7.307470555109695,8.527948478733057,8.666666666666666,7.5,9.5,10.0,8.5,9.25,proj_15
1,2467,20,-0.08738436548261654,1.0,0.0,5.041810911564705,8.166666666666666,7.0,9.5,9.5,8.5,9.0,proj_19
