student_id,week,memo_regrade
student_001,2,9.3
student_001,3,9
student_001,4,9.1
student_001,5,8.75
student_001,6,9.55
student_001,7,8.55
student_001,8,6
student_001,9,8.75
student_002,2,8.2
student_002,3,8.75
student_002,4,8.25
student_002,5,8.25
student_002,6,7.15
student_002,7,9.05
student_002,8,7.5
student_002,9,8
student_003,2,9.35
student_003,3,9.7
student_003,4,9.65
student_003,5,9.5
student_003,6,8.55
student_003,7,9.8
student_003,8,8
student_003,9,9
student_006,2,9.35
student_006,3,9.75
student_006,4,9.25
student_006,5,9
student_006,6,8.7
student_006,7,9.6
student_006,8,9
student_006,9,8.35
student_007,2,8.25
student_007,3,9.75
student_007,4,9.25
student_007,5,8.75
student_007,6,9.2
student_007,7,9.25
student_007,8,8.5
student_007,9,8.6
student_012,2,8.95
student_012,3,9.6
student_012,4,9.2
student_012,5,8.25
student_012,6,7.5
student_012,7,7.85
student_012,8,8.25
student_012,9,8.75
student_013,2,8.65
student_013,3,9
student_013,4,9.8
student_013,5,9
student_013,6,8.5
student_013,7,9.45
student_013,8,9
student_013,9,8.5
student_015,2,9.6
student_015,3,9.5
student_015,4,9.1
student_015,5,9.5
student_015,6,9.4
student_015,7,9.9
student_015,8,9.75
student_015,9,9
student_016,2,8.25
student_016,3,9.75
student_016,4,9.75
student_016,5,9.5
student_016,6,9.8
student_016,7,9.9
student_016,8,6.5
student_016,9,9.75
student_017,2,8.95
student_017,3,8.5
student_017,4,9.3
student_017,5,9
student_017,6,8.85
student_017,7,9.5
student_017,8,9
student_021,2,9.15
student_021,3,9.75
student_021,4,9.65
student_021,5,8.75
student_021,6,8.3
student_021,7,9.3
student_021,8,9
student_021,9,9
student_022,2,7.65
student_022,3,8.75
student_022,4,9.2
student_022,6,8.2
student_022,7,9.9
student_022,8,7.5
student_022,9,7.75
student_023,2,8.95
student_023,3,9.5
student_023,4,9.45
student_023,5,9
student_023,6,9.05
student_023,7,9.9
student_023,8,9
student_023,9,9.35
student_024,2,9.35
student_024,3,9.25
student_024,4,9.4
student_024,5,9.25
student_024,6,9.6
student_024,7,9.9
student_024,8,8.25
student_024,9,9
student_028,2,8.45
student_028,3,8.25
student_028,4,8.7
student_028,5,7.5
student_028,6,8.15
student_028,8,6
student_028,9,8.5
student_031,2,9.2
student_031,3,8.4
student_031,4,8.9
student_031,5,7.25
student_031,6,8.95
student_031,7,8.75
student_031,8,4
student_031,9,8.65
student_032,2,8.9
student_032,3,9.75
student_032,4,9.65
student_032,5,9.75
student_032,6,9.05
student_032,7,10
student_032,8,8
student_032,9,9.55
student_033,2,8.5
student_033,3,8.4
student_033,4,9.5
student_033,5,8.75
student_033,6,6.65
student_033,7,8.95
student_033,8,8
student_033,9,8.25
student_035,2,7.85
student_035,3,8
student_035,5,9
student_035,6,9.4
student_035,8,5.5
student_035,9,8.75
student_036,2,7.95
student_036,5,6
student_036,6,8.25
student_036,7,7
student_036,9,6.75
student_037,2,9.4
student_037,3,9.5
student_037,4,6.5
student_037,5,9.5
student_037,6,9.4
student_037,8,7.5
student_038,2,9.35
student_038,3,8.5
student_038,4,8.75
student_038,5,9
student_038,6,8.25
student_038,7,7
student_038,8,8
student_038,9,8
student_039,2,7.7
student_039,3,8.5
student_039,4,9.55
student_039,5,9.25
