student_id,week,policy,analysis_keep,is_treatment_week,reported_claude_use,comfort,perceived_performance,usefulness,reliability,verification_frequency,alternatives,reliance
student_023,1.0,DEFAULT,True,False,Yes,6.0,5.0,5.0,5.0,3.0,2.0,3.0
student_021,1.0,DEFAULT,True,False,Yes,5.0,4.0,6.0,5.0,3.0,3.0,5.0
student_049,1.0,DEFAULT,True,False,Yes,5.0,6.0,6.0,6.0,2.0,1.0,3.0
student_006,1.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,4.0,4.0,6.0
student_033,1.0,DEFAULT,True,False,Yes,2.0,6.0,7.0,7.0,4.0,1.0,6.0
student_031,1.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,5.0,3.0,3.0,5.0
student_037,1.0,DEFAULT,True,False,Yes,4.0,4.0,4.0,5.0,4.0,3.0,4.0
student_040,1.0,DEFAULT,True,False,No,,,,,,,
student_024,1.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,4.0,3.0,2.0,5.0
student_039,1.0,DEFAULT,True,False,Yes,6.0,7.0,7.0,6.0,4.0,1.0,5.0
student_001,1.0,DEFAULT,True,False,No,,,,,,,
student_012,1.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,3.0,6.0
student_054,1.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,2.0,3.0,5.0
student_055,1.0,DEFAULT,True,False,No,,,,,,,
student_015,1.0,DEFAULT,True,False,No,,,,,,,
student_052,1.0,DEFAULT,True,False,No,,,,,,,
student_017,1.0,DEFAULT,True,False,No,,,,,,,
student_028,1.0,DEFAULT,True,False,Yes,5.0,5.0,6.0,6.0,4.0,2.0,2.0
student_063,1.0,DEFAULT,True,False,No,,,,,,,
student_013,1.0,DEFAULT,True,False,Yes,5.0,6.0,6.0,5.0,3.0,2.0,5.0
student_003,1.0,DEFAULT,True,False,No,,,,,,,
student_038,1.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,6.0,2.0,3.0,5.0
student_042,1.0,DEFAULT,True,False,Yes,5.0,7.0,7.0,6.0,3.0,3.0,6.0
student_016,1.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,4.0,2.0,5.0
student_053,1.0,DEFAULT,True,False,No,,,,,,,
student_043,2.0,DEFAULT,True,False,No,,,,,,,
student_007,1.0,DEFAULT,True,False,No,,,,,,,
student_036,1.0,DEFAULT,True,False,No,,,,,,,
student_035,2.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,1.0,7.0
student_032,2.0,DEFAULT,True,False,No,,,,,,,
student_002,1.0,DEFAULT,True,False,No,,,,,,,
student_012,2.0,NOVELTY_BIASED,True,True,Yes,5.0,5.0,6.0,6.0,4.0,4.0,6.0
student_003,2.0,DEFAULT,True,False,Yes,5.0,7.0,7.0,5.0,3.0,2.0,6.0
student_031,2.0,DEFAULT,True,False,Yes,4.0,4.0,4.0,4.0,2.0,3.0,5.0
student_023,2.0,DEFAULT,True,False,No,,,,,,,
student_007,2.0,DEFAULT,True,False,No,,,,,,,
student_017,2.0,DEFAULT,True,False,No,,,,,,,
student_044,2.0,DEFAULT,True,False,Yes,5.0,5.0,4.0,4.0,4.0,3.0,5.0
student_001,2.0,DEFAULT,True,False,No,,,,,,,
student_038,2.0,NOVELTY_BIASED,True,True,Yes,6.0,6.0,6.0,6.0,2.0,2.0,4.0
student_050,2.0,DEFAULT,True,False,No,,,,,,,
student_050,1.0,DEFAULT,True,False,No,,,,,,,
student_028,2.0,DEFAULT,True,False,Yes,5.0,5.0,6.0,5.0,4.0,2.0,1.0
student_042,2.0,DEFAULT,True,False,Yes,6.0,7.0,7.0,5.0,2.0,1.0,7.0
student_064,2.0,NOVELTY_BIASED,True,True,No,,,,,,,
student_037,2.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,5.0,3.0,3.0,6.0
student_049,2.0,DEFAULT,True,False,No,,,,,,,
student_002,2.0,DEFAULT,True,False,No,,,,,,,
student_052,2.0,DEFAULT,True,False,No,,,,,,,
student_016,2.0,DEFAULT,True,False,Yes,5.0,6.0,6.0,6.0,3.0,3.0,6.0
student_033,2.0,DEFAULT,True,False,Yes,5.0,7.0,7.0,7.0,4.0,2.0,5.0
student_015,2.0,DEFAULT,True,False,No,,,,,,,
student_050,3.0,DEFAULT,True,False,No,,,,,,,
student_063,2.0,DEFAULT,True,False,No,,,,,,,
student_003,3.0,DEFAULT,True,False,Yes,6.0,5.0,6.0,5.0,3.0,2.0,2.0
student_053,2.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_053,3.0,DEFAULT,True,False,No,,,,,,,
student_039,3.0,QUESTIONING_ORIENTED,True,True,Yes,5.0,5.0,5.0,5.0,4.0,3.0,4.0
student_024,3.0,DEFAULT,True,False,Yes,5.0,6.0,5.0,5.0,3.0,3.0,5.0
student_028,3.0,DEFAULT,True,False,Yes,5.0,4.0,5.0,5.0,4.0,2.0,2.0
student_052,3.0,DEFAULT,True,False,No,,,,,,,
student_062,3.0,DEFAULT,True,False,Yes,5.0,7.0,7.0,6.0,1.0,2.0,3.0
student_033,3.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,3.0,6.0
student_013,3.0,DEFAULT,True,False,No,,,,,,,
student_007,3.0,NEUTRAL,True,True,Yes,7.0,7.0,7.0,7.0,3.0,3.0,6.0
student_058,3.0,RELIABILITY_BIASED,True,True,Yes,5.0,6.0,6.0,5.0,4.0,1.0,4.0
student_043,3.0,QUESTIONING_ORIENTED,True,True,No,,,,,,,
student_032,3.0,DEFAULT,True,False,Yes,3.0,5.0,5.0,5.0,4.0,3.0,5.0
student_031,3.0,DEFAULT,True,False,No,,,,,,,
student_042,3.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,1.0,1.0,6.0
student_002,3.0,DEFAULT,True,False,No,,,,,,,
student_045,3.0,DEFAULT,True,False,Yes,4.0,3.0,3.0,5.0,4.0,3.0,3.0
student_063,3.0,NOVELTY_BIASED,True,True,Yes,7.0,4.0,4.0,5.0,3.0,2.0,3.0
student_015,3.0,NOVELTY_BIASED,True,True,No,,,,,,,
student_012,3.0,DEFAULT,True,False,No,,,,,,,
student_040,3.0,DEFAULT,True,False,No,,,,,,,
student_017,3.0,DEFAULT,True,False,No,,,,,,,
student_038,3.0,DEFAULT,True,False,No,,,,,,,
student_031,4.0,DEFAULT,True,False,Yes,4.0,4.0,4.0,4.0,2.0,2.0,4.0
student_044,4.0,DEFAULT,True,False,Yes,4.0,4.0,4.0,4.0,3.0,2.0,4.0
student_050,4.0,DEFAULT,True,False,No,,,,,,,
student_015,4.0,DEFAULT,True,False,No,,,,,,,
student_021,4.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,4.0,4.0,2.0
student_037,4.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,7.0,4.0,3.0,6.0
student_003,4.0,DEFAULT,True,False,Yes,5.0,5.0,6.0,5.0,3.0,1.0,4.0
