student_id,What is your current academic level?,prior programming experience in general?,prior machine learning / AI programming experience?,Languages/tools used: count,"For learning/explanations (concepts, reading, studying)","For coding/programming (writing code, debugging, refactoring)","For writing (emails, reports, summaries)",Roughly how many total hours did you use AI assistants in the last 7 days?,"How often do you typically verify AI outputs (e.g., run the code, test edge cases, check reasoning)?",How confident are you in evaluating whether an AI-generated coding solution is correct?,"Before this course, had you used an AI coding tool integrated into an IDE/terminal/workflow (e.g., Claude Code, GitHub Copilot, Cursor, Codeium)?",AI coding tools used: count,"If you have used Claude Code before, how frequently?",AI coding-tool settings: count,AI coding tasks: count,"I prefer a solution that is reliable and standard, even if it is not innovative.","I prefer to try new or unconventional approaches, even if they sometimes fail.","When I am under time pressure, I tend to choose the safest approach.","When I have time, I enjoy exploring multiple alternative approaches before deciding.",I would rather have an assistant propose one best answer than multiple speculative ideas.,I would rather have an assistant propose several candidate strategies (with pros/cons) than one answer.,"If a first approach works “well enough,” I typically stop searching for alternatives.",I am comfortable spending extra effort to find a better approach even after I have a working one.,I feel comfortable rejecting an AI suggestion when it doesn’t seem right.,I worry I might become overly dependent on AI tools for coding.,"I expect AI tools to help me learn, not just finish tasks faster.",novelty_mean,reliability_mean,direction_score,novelty_pref_z,reliability_pref_z,lean
student_001,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0,6.25,4.75,1.5,1.0312643455569033,0.04791192301805848,novelty
student_002,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0,5.25,4.5,0.75,-0.11357536845340299,-0.20362567282674945,novelty
student_003,Master's student,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,Yes,1.0,1.0,4.0,3.0,5.0,4.0,6.0,7.0,1.0,7.0,3.0,5.0,6.0,7.0,6.0,5.75,3.75,2.0,0.45884448855175014,-0.9582384603611732,novelty
student_006,Master's student,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,Yes,4.0,2.0,3.0,3.0,6.0,7.0,7.0,6.0,3.0,6.0,4.0,6.0,7.0,7.0,7.0,6.25,5.0,1.25,1.0312643455569033,0.2994495188628664,novelty
student_007,Master's student,1.0,1.0,3.0,3.0,3.0,3.0,15.0,3.0,4.0,Yes,1.0,0.0,2.0,2.0,6.0,4.0,7.0,7.0,3.0,6.0,4.0,4.0,7.0,5.0,6.0,5.25,5.0,0.25,-0.11357536845340299,0.2994495188628664,novelty
student_012,Master's student,1.0,1.0,4.0,4.0,3.0,3.0,15.0,3.0,5.0,Yes,3.0,1.0,4.0,3.0,5.0,6.0,7.0,4.0,5.0,5.0,4.0,7.0,7.0,6.0,6.0,5.5,5.25,0.25,0.17263456004917357,0.5509871147076744,novelty
student_013,Master's student,1.0,1.0,4.0,1.0,1.0,3.0,15.0,3.0,6.0,Not sure,1.0,0.0,2.0,3.0,5.0,6.0,7.0,6.0,2.0,6.0,5.0,5.0,5.0,7.0,5.0,5.75,4.75,1.0,0.45884448855175014,0.04791192301805848,novelty
student_015,Master's student,2.0,2.0,3.0,2.0,2.0,2.0,7.5,4.0,4.0,Yes,3.0,0.0,2.0,3.0,5.0,5.0,5.0,7.0,3.0,7.0,2.0,7.0,7.0,4.0,7.0,6.5,3.75,2.75,1.3174742740594798,-0.9582384603611732,novelty
student_016,Master's student,1.0,1.0,4.0,3.0,3.0,2.0,7.5,4.0,5.0,No,0.0,0.0,0.0,0.0,4.0,3.0,6.0,5.0,3.0,6.0,6.0,5.0,7.0,5.0,6.0,4.75,4.75,0.0,-0.6859952254585562,0.04791192301805848,
student_017,Master's student,2.0,1.0,6.0,2.0,2.0,1.0,3.0,2.0,5.0,Yes,3.0,0.0,3.0,3.0,3.0,5.0,6.0,6.0,2.0,6.0,2.0,6.0,6.0,5.0,6.0,5.75,3.25,2.5,0.45884448855175014,-1.461313652050789,novelty
