student_id,week,policy,is_treatment_week,analysis_keep,ai_asgn_score,gemini_asgn_score,asgn_score,combined_asgn_score,combined_gemini_asgn_score,combined_all_asgn_score,min_asgn_score,max_asgn_score,ai_memo_score,gemini_memo_score,memo_score,combined_memo_score,combined_gemini_memo_score,combined_all_memo_score,min_memo_score,max_memo_score
student_001,1,DEFAULT,FALSE,TRUE,9.17,9.72,9,9.085,9.36,9.296666666666669,9,9.17,NA,NA,NA,NA,NA,NA,NA,NA
student_001,2,DEFAULT,FALSE,TRUE,6.87,6.32,9.5,8.185,7.91,7.563333333333333,6.87,9.5,7,7,9.6,8.3,8.3,7.866666666666667,7,9.6
student_001,3,NOVELTY_BIASED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7.1,7.5,9,8.05,8.25,7.866666666666667,7.1,9
student_001,4,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,5.7,7,9,7.35,8,7.233333333333333,5.7,9
student_001,5,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7.6,8,8,7.8,8,7.866666666666667,7.6,8
student_001,6,QUESTIONING_ORIENTED,TRUE,TRUE,9.69,10,9.5,9.595,9.75,9.73,9.5,9.69,7.2,8,9.6,8.4,8.8,8.266666666666667,7.2,9.6
student_001,7,DEFAULT,FALSE,TRUE,8.89,9.45,10,9.445,9.725,9.446666666666667,8.89,10,7,7.5,8.6,7.8,8.05,7.7,7,8.6
student_001,8,DEFAULT,FALSE,TRUE,6.67,10,10,8.335,10,8.89,6.67,10,6.7,7.5,6,6.35,6.75,6.733333333333333,6,6.7
student_001,9,DEFAULT,FALSE,TRUE,8.75,9.06,10,9.375,9.53,9.27,8.75,10,7,9.5,8,7.5,8.75,8.166666666666666,7,8
student_002,1,DEFAULT,FALSE,TRUE,8.47,9.03,10,9.235,9.515,9.166666666666666,8.47,10,NA,NA,NA,NA,NA,NA,NA,NA
student_002,2,DEFAULT,FALSE,TRUE,8.61,10,9.5,9.055,9.75,9.37,8.61,9.5,4.6,4,8.2,6.3999999999999995,6.1,5.599999999999999,4.6,8.2
student_002,3,DEFAULT,FALSE,TRUE,6.82,7.34,7,6.91,7.17,7.053333333333334,6.82,7,5.8,6,9,7.4,7.5,6.933333333333334,5.8,9
student_002,4,RELIABILITY_BIASED,TRUE,TRUE,8.71,10,7.5,8.105,8.75,8.736666666666666,7.5,8.71,5.8,6,8,6.9,7,6.6000000000000005,5.8,8
student_002,5,DEFAULT,FALSE,TRUE,9.03,9.72,8.5,8.765,9.11,9.083333333333334,8.5,9.03,6.3,5,7.5,6.9,6.25,6.266666666666667,6.3,7.5
student_002,6,DEFAULT,FALSE,TRUE,9.06,10,10,9.53,10,9.686666666666667,9.06,10,6.2,5.5,8.3,7.25,6.9,6.666666666666667,6.2,8.3
student_002,7,DEFAULT,FALSE,TRUE,8.89,9.44,10,9.445,9.72,9.443333333333332,8.89,10,6.2,7.5,8.6,7.4,8.05,7.433333333333334,6.2,8.6
student_002,8,DEFAULT,FALSE,TRUE,8.54,9.59,9,8.77,9.295,9.043333333333331,8.54,9,6.2,5,8,7.1,6.5,6.3999999999999995,6.2,8
student_002,9,QUESTIONING_ORIENTED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.5,8,7.15,7.25,6.933333333333334,6.3,8
student_003,1,DEFAULT,FALSE,TRUE,7.78,10,9,8.39,9.5,8.926666666666668,7.78,9,NA,NA,NA,NA,NA,NA,NA,NA
student_003,2,DEFAULT,FALSE,TRUE,8.75,10,9.5,9.125,9.75,9.416666666666666,8.75,9.5,7.1,7.3,9.7,8.399999999999999,8.5,8.033333333333333,7.1,9.7
student_003,3,DEFAULT,FALSE,TRUE,7.34,8.6,9,8.17,8.8,8.313333333333333,7.34,9,7.5,8.5,10,8.75,9.25,8.666666666666666,7.5,10
student_003,4,DEFAULT,FALSE,TRUE,8.12,9.79,10,9.06,9.895,9.303333333333333,8.12,10,7.5,9,9.8,8.65,9.4,8.766666666666667,7.5,9.8
student_003,5,DEFAULT,FALSE,TRUE,8.48,8.82,9,8.74,8.91,8.766666666666667,8.48,9,7.8,8,9,8.4,8.5,8.266666666666667,7.8,9
student_003,6,RELIABILITY_BIASED,TRUE,TRUE,9.69,10,10,9.845,10,9.896666666666668,9.69,10,8.1,8.5,9.1,8.6,8.8,8.566666666666666,8.1,9.1
student_003,7,DEFAULT,FALSE,TRUE,8.61,10,10,9.305,10,9.536666666666669,8.61,10,6.8,8,9.6,8.2,8.8,8.133333333333333,6.8,9.6
student_003,8,DEFAULT,FALSE,TRUE,5.21,10,9,7.105,9.5,8.07,5.21,9,7.4,7,8,7.7,7.5,7.466666666666666,7.4,8
