student_id,week,policy,treatment_order,combined_all_asgn_score,combined_all_memo_score,academic_level,prior_prog,prior_ml,n_languages,use_learning,use_coding,use_writing,hours_ai_7d,verify_freq,eval_confidence,prior_ide_tool,n_ai_tools,claude_freq,n_ai_settings,n_ai_tasks,pref_reliable,pref_novel,pref_safe_pressure,enjoy_explore,pref_one_answer,pref_several,stop_good_enough,effort_better,comfort_reject,worry_dependence,expect_learn
student_001,1,DEFAULT,,9.296666666666669,,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,2,DEFAULT,,7.563333333333333,7.866666666666667,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,3,NOVELTY_BIASED,1,,7.866666666666667,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,4,DEFAULT,,,7.233333333333333,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,5,DEFAULT,,,7.866666666666667,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,7,DEFAULT,,9.446666666666667,7.7,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,8,DEFAULT,,8.89,6.733333333333333,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_001,9,DEFAULT,,9.27,8.166666666666666,Master's student,3.0,3.0,6.0,4.0,4.0,4.0,25.0,3.0,7.0,Yes,3.0,0.0,1.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,1.0
student_002,1,DEFAULT,,9.166666666666666,,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0
student_002,2,DEFAULT,,9.37,5.599999999999999,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0
student_002,3,DEFAULT,,7.053333333333334,6.933333333333334,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0
student_002,4,RELIABILITY_BIASED,1,8.736666666666666,6.6000000000000005,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0
student_002,5,DEFAULT,,9.083333333333334,6.266666666666667,Master's student,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,No,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,5.0
