ExperimentType,UID,NID,PrePerformance,PostPerformance,PerceivedImproveCode,AIInterMean,UStanceLabel,UIdeo,AICorrectness
Single_AI_Non_Biased,30,1,1,0.5,5,Very meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,30,8,0.7,1,5,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,30,18,1,0.5,5,Very meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,60,3,0.5,0.09999999999999998,3,Moderately meaningful,Strong Democrat,Moderate,0
Single_AI_Non_Biased,60,12,0.09999999999999998,0.09999999999999998,3,Moderately meaningful,Strong Democrat,Moderate,0.5
Single_AI_Non_Biased,60,16,0.19999999999999996,0.19999999999999996,3,Moderately meaningful,Strong Democrat,Moderate,0.5
Single_AI_Non_Biased,66,2,0.5,0.8,4,Very meaningful,Strong Democrat,Conservative,1
Single_AI_Non_Biased,66,11,0.09999999999999998,0.09999999999999998,4,Very meaningful,Strong Democrat,Conservative,0.1999999999999999
Single_AI_Non_Biased,66,17,0.5,0.5,4,Very meaningful,Strong Democrat,Conservative,0.5
Single_AI_Non_Biased,69,5,0.8,0.6,5,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,69,7,0.19999999999999996,0,5,Extremely meaningful,Independent,Moderate,0
Single_AI_Non_Biased,69,16,0.09999999999999998,1,5,Extremely meaningful,Independent,Moderate,0.7
Single_AI_Non_Biased,81,3,0.7,0.09999999999999998,5,Extremely meaningful,Somewhat Democrat,Liberal,0
Single_AI_Non_Biased,81,7,0.19999999999999996,0,5,Extremely meaningful,Somewhat Democrat,Liberal,0.0999999999999999
Single_AI_Non_Biased,81,14,0.30000000000000004,0.8,5,Extremely meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,96,5,0.6,0.7,4,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,96,10,0.8,0,4,Very meaningful,Somewhat Democrat,Liberal,0
Single_AI_Non_Biased,96,17,0.09999999999999998,0.09999999999999998,4,Very meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,111,1,0.7,0.6,4,Very meaningful,Independent,Conservative,0.5
Single_AI_Non_Biased,111,8,0.7,0.9,4,Very meaningful,Independent,Conservative,1
Single_AI_Non_Biased,111,15,0.9,0.09999999999999998,4,Very meaningful,Independent,Conservative,0
Single_AI_Non_Biased,138,5,0.6,1,3,Extremely meaningful,Strong Democrat,Slightly liberal,1
Single_AI_Non_Biased,138,11,0.09999999999999998,0.09999999999999998,3,Extremely meaningful,Strong Democrat,Slightly liberal,0.1999999999999999
Single_AI_Non_Biased,138,15,0.5,0,3,Extremely meaningful,Strong Democrat,Slightly liberal,0
Single_AI_Non_Biased,168,3,0,0,5,Extremely meaningful,Somewhat Republican,Extremely conservative,0
Single_AI_Non_Biased,168,10,1,1,5,Extremely meaningful,Somewhat Republican,Extremely conservative,0
Single_AI_Non_Biased,168,18,0.5,0.5,5,Extremely meaningful,Somewhat Republican,Extremely conservative,0.5
Single_AI_Non_Biased,171,4,0.30000000000000004,0.9,5,Very meaningful,Independent,Moderate,1
Single_AI_Non_Biased,171,8,0.8,1,5,Very meaningful,Independent,Moderate,1
Single_AI_Non_Biased,171,15,0.9,0.09999999999999998,5,Very meaningful,Independent,Moderate,0
Single_AI_Non_Biased,183,1,0.7,0.5,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.5
Single_AI_Non_Biased,183,8,0.9,1,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,1
Single_AI_Non_Biased,183,16,0.19999999999999996,1,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.5
Single_AI_Non_Biased,252,1,0.9,0.6,5,Extremely meaningful,Strong Democrat,Liberal,0.5
Single_AI_Non_Biased,252,10,0.5,0,5,Extremely meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,252,14,0.5,1,5,Extremely meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,282,5,1,0.7,1,Not meaningful at all,Independent,Liberal,0.5
Single_AI_Non_Biased,282,11,0.19999999999999996,0.19999999999999996,1,Not meaningful at all,Independent,Liberal,0.5
Single_AI_Non_Biased,282,14,0.5,0.6,1,Not meaningful at all,Independent,Liberal,1
Single_AI_Non_Biased,336,4,0.5,0.5,4,Very meaningful,Independent,Liberal,1
Single_AI_Non_Biased,336,7,0.5,0.30000000000000004,4,Very meaningful,Independent,Liberal,0
Single_AI_Non_Biased,336,16,0.5,0.8,4,Very meaningful,Independent,Liberal,0.5
Single_AI_Non_Biased,372,4,0.30000000000000004,0.9,4,Very meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,372,12,0.6,0.09999999999999998,4,Very meaningful,Strong Democrat,Liberal,0.7
Single_AI_Non_Biased,372,14,0.5,1,4,Very meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,390,2,0.19999999999999996,1,4,Very meaningful,Somewhat Republican,Conservative,1
Single_AI_Non_Biased,390,9,1,1,4,Very meaningful,Somewhat Republican,Conservative,1
Single_AI_Non_Biased,390,16,0,1,4,Very meaningful,Somewhat Republican,Conservative,0.5
Single_AI_Non_Biased,396,2,0.7,0.8,4,Very meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,396,10,0.19999999999999996,0.09999999999999998,4,Very meaningful,Strong Republican,Extremely conservative,0.9
Single_AI_Non_Biased,396,16,0,0.09999999999999998,4,Very meaningful,Strong Republican,Extremely conservative,0.7
Single_AI_Non_Biased,399,6,0.5,0.5,3,Very meaningful,Independent,Moderate,1
Single_AI_Non_Biased,399,12,0.30000000000000004,0.9,3,Very meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,399,16,0,0.9,3,Very meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,477,1,1,0.9,2,Slightly meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,477,10,0.7,1,2,Slightly meaningful,Strong Republican,Extremely conservative,0
Single_AI_Non_Biased,477,16,0,0.7,2,Slightly meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,528,4,0.30000000000000004,0.5,5,Very meaningful,Strong Democrat,Moderate,1
Single_AI_Non_Biased,528,7,0.5,0.09999999999999998,5,Very meaningful,Strong Democrat,Moderate,0
Single_AI_Non_Biased,528,13,0.8,0.9,5,Very meaningful,Strong Democrat,Moderate,1
Single_AI_Non_Biased,555,6,0.30000000000000004,1,5,Very meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,555,10,1,0.30000000000000004,5,Very meaningful,Strong Democrat,Extremely liberal,0
Single_AI_Non_Biased,555,16,0.30000000000000004,1,5,Very meaningful,Strong Democrat,Extremely liberal,0.7
Single_AI_Non_Biased,576,6,0.30000000000000004,0.30000000000000004,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,1
Single_AI_Non_Biased,576,7,0.5,0.7,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.0999999999999999
Single_AI_Non_Biased,576,16,0.5,0.7,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.7
Single_AI_Non_Biased,648,5,1,0.7,5,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,648,8,0.5,0.8,5,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,648,14,0.6,0.8,5,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,651,2,0.30000000000000004,0.5,4,Very meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,651,12,0.09999999999999998,0.19999999999999996,4,Very meaningful,Independent,Slightly liberal,0.5
Single_AI_Non_Biased,651,16,0.19999999999999996,0.09999999999999998,4,Very meaningful,Independent,Slightly liberal,0.5
Single_AI_Non_Biased,672,3,0.5,0.09999999999999998,5,Very meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,672,9,0.8,0.5,5,Very meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,672,18,1,0.6,5,Very meaningful,Strong Democrat,Liberal,0.5
Single_AI_Non_Biased,687,6,0.19999999999999996,0.9,4,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,687,8,0.5,0.8,4,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,687,16,0.5,0.8,4,Very meaningful,Somewhat Democrat,Liberal,0.7
Single_AI_Non_Biased,699,4,0.8,0.7,3,Moderately meaningful,Somewhat Republican,Conservative,1
Single_AI_Non_Biased,699,11,0,0,3,Moderately meaningful,Somewhat Republican,Conservative,0.5
Single_AI_Non_Biased,699,15,0.8,0.19999999999999996,3,Moderately meaningful,Somewhat Republican,Conservative,0
Single_AI_Non_Biased,711,5,0.8,0.7,4,Very meaningful,Somewhat Democrat,Liberal,1
Single_AI_Non_Biased,711,8,0.9,1,4,Very meaningful,Somewhat Democrat,Liberal,1
