participantId,wave,ai_group,eval_start,ai_w_SHY,ai_w_IEF,ai_w_LQD,ai_w_GLD,ai_w_VNQ,ai_w_SPY,ai_w_XLF,ai_w_XLE,ai_w_XLI,ai_w_XLP,ai_w_XLU,ai_w_AAPL,ai_w_MSFT,ai_w_AMZN,ai_w_GOOGL,ai_w_NVDA,ai_w_TSLA,ai_w_SHOP,ai_w_SNOW,ai_w_PLTR,ai_w_DKNG,ai_w_RIVN,ai_w_CRSP,ai_w_BTC,ai_w_ETH
1898,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0
132,wave3,Somewhat Risk-Averse,2026-06-09,25.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1848,wave3,Default,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,40.0,10.0
522,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,wave3,Default,2026-06-09,0.0,20.0,15.0,10.0,10.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,0.0,10.0,20.0,15.0
1631,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,20.0,10.0,10.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0
716,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,10.0,0.0,10.0,0.0,0.0,5.0,20.0,15.0
1040,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0
1893,wave3,Default,2026-06-09,15.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0
2128,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,10.0,10.0,0.0,10.0,15.0,0.0,0.0,0.0
1199,wave3,Extremely Risk-Averse,2026-06-09,40.0,25.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
2014,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,15.0,15.0,10.0,0.0,10.0,0.0,0.0,0.0
602,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1677,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,20.0,10.0
987,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,15.0,15.0,0.0,0.0,15.0,20.0,0.0
1117,wave3,Somewhat Risk-Averse,2026-06-09,20.0,10.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1809,wave3,Default,2026-06-09,10.0,10.0,0.0,10.0,0.0,15.0,10.0,5.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,wave3,Somewhat Risk-Averse,2026-06-09,25.0,15.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,wave3,Risk-Neutral,2026-06-09,0.0,15.0,0.0,0.0,10.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1537,wave3,Somewhat Risk-Averse,2026-06-09,15.0,15.0,10.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
