window_start,spy_ret,spy_vol,arm,mean_post_m2,mean_pre_m2,n
2021-11-11,0.01255329673485,0.0026702278863032,Somewhat Risk-Seeking,-0.0005121533369527,-0.0015399985160342,155
2021-11-12,-0.0103499123055913,0.0065510012358461,Somewhat Risk-Seeking,-0.0095221176991425,-0.006756623299901,155
2021-11-13,-0.0177626133933141,0.0061522870875382,Somewhat Risk-Seeking,-0.004351770823077,-0.0023842626741343,155
2021-11-14,-0.0177626133933141,0.0061522870875382,Somewhat Risk-Seeking,-0.0007522525324355,-0.0001053582388468,155
2021-11-15,-0.0057138793264008,0.0070670457414334,Somewhat Risk-Seeking,0.0038059361639306,0.0012351593306559,155
2021-11-16,-0.0253940381564061,0.008607937288313,Somewhat Risk-Seeking,0.0167239678533001,0.011632476752577,155
2021-11-17,-0.0400187873620586,0.0087804908483931,Somewhat Risk-Seeking,0.015297633258552,0.0155403827509681,155
2021-11-18,-0.0229418716045833,0.0099364672536275,Somewhat Risk-Seeking,0.011027098081498,0.0098251480864911,155
2021-11-19,-0.0347222785206046,0.0100014246138623,Somewhat Risk-Seeking,-0.0085430724121948,-0.0033574390160205,155
2021-11-20,-0.0329931007597824,0.0100186834088199,Somewhat Risk-Seeking,-0.0277807725607238,-0.0143555242071192,155
2021-11-21,-0.0329931007597824,0.0100186834088199,Somewhat Risk-Seeking,-0.0300189415186853,-0.0158805544978609,155
2021-11-22,-0.0215404813919315,0.010650134469396,Somewhat Risk-Seeking,-0.0339797262671044,-0.0208704478610447,155
2021-11-23,0.0015184817410123,0.0120616238390186,Somewhat Risk-Seeking,-0.0111701641659043,-0.0037791822307802,155
2021-11-24,0.0028407238405989,0.0120755022427231,Somewhat Risk-Seeking,-0.0096565785367206,-0.0051281176876768,155
2021-11-25,-0.0065823487970946,0.012185575877202,Somewhat Risk-Seeking,-0.0318304465249343,-0.0234751562025202,155
2021-11-26,0.002769234587886,0.0124456640892408,Somewhat Risk-Seeking,-0.0461740441762782,-0.0374071806360165,155
2021-11-27,0.0256443349961892,0.0107785410671528,Somewhat Risk-Seeking,-0.0317569235276646,-0.0300493920448478,155
2021-11-28,0.0256443349961892,0.0107785410671528,Somewhat Risk-Seeking,-0.0325515884826884,-0.0306426449846103,155
2021-11-29,0.016558736775639,0.0111182272404648,Somewhat Risk-Seeking,-0.054711445123815,-0.0477535528930744,155
2021-11-30,-0.0026690410780406,0.0108469542723571,Somewhat Risk-Seeking,-0.0605496058346533,-0.0500594820802701,155
2021-12-01,0.0330143526996062,0.0101395328093728,Somewhat Risk-Seeking,-0.0537238701866757,-0.0530129612279058,155
2021-12-02,0.0354051569502191,0.0099399873928448,Somewhat Risk-Seeking,-0.0580273279039084,-0.0571785356580685,155
2021-12-03,0.0089324139697719,0.009783182041469,Somewhat Risk-Seeking,-0.0450666324297371,-0.040889372480094,155
2021-12-04,0.0177885621033726,0.0094419052497417,Somewhat Risk-Seeking,-0.0314749495648467,-0.0317474150247481,155
2021-12-05,0.0177885621033726,0.0094419052497417,Somewhat Risk-Seeking,-0.026926145497817,-0.028193301620074,155
2021-12-06,0.0069660879491209,0.0099265777727614,Somewhat Risk-Seeking,-0.0291204138195148,-0.0280040361160866,155
2021-12-07,0.012853092745291,0.0105094478057262,Somewhat Risk-Seeking,-0.018043767555855,-0.0204400651984829,155
2021-12-08,0.002248969399017,0.0093735085256215,Somewhat Risk-Seeking,-0.0236302145192378,-0.0240396257610859,155
2021-12-09,0.0058216042242194,0.0094851954738449,Somewhat Risk-Seeking,-0.0213141081445135,-0.0254326978040944,155
2021-12-10,0.0126586898923179,0.0092780467945857,Somewhat Risk-Seeking,-0.0082968010195522,-0.0153849315406532,155
2021-12-11,0.0032148798387066,0.0089728833001005,Somewhat Risk-Seeking,0.0017240403257658,-0.0045392674774483,155
2021-12-12,0.0032148798387066,0.0089728833001005,Somewhat Risk-Seeking,-0.0023327494234465,-0.0076529520890953,155
2021-12-13,0.0174125669118432,0.0096621207893384,Somewhat Risk-Seeking,-0.0075560112159652,-0.0155020933015929,155
2021-12-14,0.0256669368689368,0.009280009495007,Somewhat Risk-Seeking,0.000442541216339,-0.0102163586242665,155
2021-12-15,0.0340935112707532,0.0089732821618445,Somewhat Risk-Seeking,-0.0101249989748417,-0.0197120967137746,155
2021-12-16,0.0153690900624197,0.0082457855810748,Somewhat Risk-Seeking,-0.0164218828688754,-0.019001572292417,155
2021-12-17,0.0218214679608639,0.0078586819315087,Somewhat Risk-Seeking,-0.0054842678876649,-0.0113814334214869,155
2021-12-18,0.0328135194628518,0.0071341116940065,Somewhat Risk-Seeking,-0.007459246453057,-0.015018032052313,155
2021-12-19,0.0328135194628518,0.0071341116940065,Somewhat Risk-Seeking,-0.0091162126617292,-0.01625057528063,155
2021-12-20,0.0387935336093947,0.0071644027517357,Somewhat Risk-Seeking,-0.0010258762110167,-0.0117620082028645,155
2021-12-21,0.049606279230012,0.0062436159257779,Somewhat Risk-Seeking,-0.0103785345584103,-0.0176297771953487,155
2021-12-22,0.0114889014793848,0.0073111221965057,Somewhat Risk-Seeking,-0.0324193817951183,-0.0324122010777273,155
2021-12-23,0.000534472098018,0.00685815817376,Somewhat Risk-Seeking,-0.0304453650114129,-0.0278996158871837,155
2021-12-24,-0.0095835455210658,0.0067064330581396,Somewhat Risk-Seeking,-0.0379095075018477,-0.0266719807647855,155
2021-12-25,-0.0095835455210658,0.0067064330581396,Somewhat Risk-Seeking,-0.0381980887704327,-0.0267797719561557,155
2021-12-26,-0.0095835455210658,0.0067064330581396,Somewhat Risk-Seeking,-0.036965368168816,-0.0258901260605985,155
2021-12-27,-0.0108159746021191,0.0067059027888734,Somewhat Risk-Seeking,-0.036111513368982,-0.0254855246957849,155
2021-12-28,-0.0157357519069617,0.0059967172633577,Somewhat Risk-Seeking,-0.0250819744378853,-0.0151814836952671,155
2021-12-29,-0.0122675335448021,0.0060744579820823,Somewhat Risk-Seeking,-0.0144365186931862,-0.0066673389772889,155
2021-12-30,-0.027121697099557,0.0068942873969116,Somewhat Risk-Seeking,-0.0179478284702924,-0.0054922727671136,155
2021-12-31,-0.0240253051244061,0.0069115425869038,Somewhat Risk-Seeking,-0.0175260576583828,-0.0066914748405168,155
2022-01-01,-0.0215596398875907,0.0069181408172788,Somewhat Risk-Seeking,-0.0139065907062325,-0.0044471708026452,155
2022-01-02,-0.0215596398875907,0.0069181408172788,Somewhat Risk-Seeking,-0.0165596601170861,-0.0067169458657784,155
2022-01-03,-0.0215596398875907,0.0069181408172788,Somewhat Risk-Seeking,-0.0188886721103985,-0.0084470084570668,155
2022-01-04,-0.0444202680304914,0.0077742966019715,Somewhat Risk-Seeking,-0.0304075689259866,-0.0101666889938715,155
2022-01-05,-0.054025591291183,0.0079593460952526,Somewhat Risk-Seeking,-0.0252649885287704,-0.0019889673119928,155
2022-01-06,-0.0461805881832774,0.0070504957508744,Somewhat Risk-Seeking,-0.0151824716460034,0.0048783106856103,155
2022-01-07,-0.0640252467104064,0.0081955880498698,Somewhat Risk-Seeking,-0.0279574270826056,-0.0019873039411023,155
2022-01-08,-0.0603102020638941,0.0082731379762233,Somewhat Risk-Seeking,-0.0280672741564842,-0.006110951824448,155
2022-01-09,-0.0603102020638941,0.0082731379762233,Somewhat Risk-Seeking,-0.02253395449131,-0.0022869347685294,155
2022-01-10,-0.0563195278328442,0.0084934314948917,Somewhat Risk-Seeking,-0.0287270252003019,-0.0087219068376489,155
2022-01-11,-0.0666795237831805,0.0087243276235563,Somewhat Risk-Seeking,-0.0329480459474376,-0.0088295718518225,155
2022-01-12,-0.0774241510026443,0.0079017197587256,Somewhat Risk-Seeking,-0.0291652137517171,-0.0072264820745799,155
2022-01-13,-0.0844550520412937,0.0075869445834332,Somewhat Risk-Seeking,-0.0409046762181465,-0.0151931959808606,155
