participantId,age,male
1,46,1
2,33,1
3,45,1
4,26,1
5,38,0
6,27,1
7,43,0
8,23,0
9,20,0
10,42,1
11,30,1
12,27,1
13,32,0
14,49,0
15,31,1
16,42,0
17,59,0
18,45,0
19,30,1
20,26,1
21,32,0
22,29,0
23,19,0
24,42,1
25,55,1
26,58,0
27,69,0
28,34,1
29,31,1
30,45,1
31,49,1
32,26,0
33,48,1
34,26,0
35,33,1
36,51,1
37,46,0
38,42,1
39,35,1
40,25,0
41,42,1
42,29,1
43,34,0
44,42,0
45,24,1
46,25,0
47,36,1
48,37,1
49,43,1
50,49,0
51,25,0
52,21,0
53,20,1
54,44,1
55,48,0
56,43,0
57,37,1
58,28,1
59,57,0
60,40,0
61,31,1
62,21,1
63,25,1
64,35,1
65,34,0
66,65,1
67,45,0
68,34,0
69,27,0
70,41,1
71,29,1
72,30,1
73,38,1
74,24,0
75,57,0
76,41,0
77,40,0
78,42,1
79,50,1
80,33,0
81,20,0
82,44,0
83,32,1
84,25,0
85,31,1
86,18,0
87,29,1
88,27,1
89,36,0
90,32,1
91,36,0
92,40,1
93,41,1
94,20,1
95,20,0
96,59,1
97,40,1
98,23,0
99,27,0
100,41,0
101,31,1
102,21,0
103,30,1
104,46,0
105,54,1
106,40,0
107,43,1
108,34,1
109,35,1
110,42,0
111,46,1
112,52,1
113,36,0
114,62,1
115,38,0
116,28,0
117,42,0
118,42,1
119,28,1
120,47,1
121,47,1
122,49,0
123,54,0
124,25,0
125,36,0
126,33,1
127,32,0
128,46,0
129,40,0
130,45,0
131,36,0
132,36,0
133,29,1
134,29,1
135,20,1
136,36,0
137,30,0
138,39,1
139,52,1
140,34,0
141,50,0
142,30,0
143,30,1
144,27,1
145,34,1
146,18,1
147,23,0
148,25,1
149,53,0
150,46,0
151,29,0
152,32,0
153,45,1
154,35,1
155,39,0
156,47,0
157,38,1
158,30,1
159,29,1
160,30,1
161,32,1
162,40,1
163,39,0
164,43,0
165,55,1
166,52,1
167,43,1
168,29,1
169,40,0
170,29,0
171,49,0
172,39,0
173,42,0
174,30,1
175,27,1
176,29,1
177,26,1
178,37,0
179,26,1
180,46,0
181,45,0
182,38,0
183,30,0
184,49,1
185,53,1
186,67,1
187,71,1
188,22,1
189,53,0
190,51,1
191,28,0
192,28,1
193,38,0
194,48,0
195,50,0
196,69,0
197,68,0
198,22,0
199,28,1
200,45,1
201,43,1
202,70,0
203,74,0
204,48,0
205,24,0
206,29,1
207,34,1
208,27,1
209,21,1
210,25,1
211,35,1
212,23,0
213,37,1
214,29,1
215,50,1
216,47,1
217,64,0
218,56,1
219,44,1
220,39,1
221,45,1
222,39,0
223,38,1
224,38,1
225,65,0
226,43,1
227,61,1
228,35,1
229,23,0
230,40,0
231,23,1
232,32,1
233,35,0
234,56,1
235,25,1
236,53,1
237,47,0
238,48,1
239,38,0
240,44,1
241,34,1
242,34,1
243,22,1
244,29,0
245,30,0
246,28,0
247,40,1
248,29,1
249,60,0
250,37,1
251,36,1
252,73,0
253,62,0
254,31,0
255,37,0
256,60,0
257,37,1
258,46,0
259,39,1
260,33,0
261,20,1
262,41,0
263,25,0
264,27,1
265,25,1
266,68,0
267,41,1
268,45,1
269,32,1
270,31,0
271,63,1
272,47,0
273,31,0
274,36,0
275,33,0
276,28,1
277,39,1
278,40,0
279,63,0
280,27,1
281,58,0
282,57,1
283,40,0
284,50,0
285,41,1
286,24,1
287,26,1
288,43,1
289,46,0
290,36,1
291,33,1
292,30,1
293,59,1
294,34,0
295,25,0
296,33,0
297,29,1
298,40,1
299,23,0
300,22,0
301,38,1
302,38,1
303,28,1
304,32,0
305,61,0
306,35,0
307,36,1
308,52,1
309,42,0
310,41,1
311,33,0
312,25,1
313,33,1
314,35,1
315,51,1
316,25,0
317,33,1
318,33,1
319,20,0
320,27,0
321,41,1
322,59,1
323,44,1
324,42,1
325,58,1
326,34,1
327,57,1
328,51,1
329,45,1
330,43,1
331,22,1
332,26,0
333,48,1
334,20,1
335,49,0
336,24,1
337,70,1
339,74,1
340,25,0
341,36,0
342,28,1
343,37,1
344,34,1
345,37,1
346,29,1
347,30,0
348,42,1
349,63,1
350,40,0
351,45,1
352,30,1
353,25,1
354,60,1
355,32,1
356,34,1
357,50,1
358,28,0
359,56,0
360,49,1
361,29,1
362,28,1
363,33,0
364,56,1
365,31,1
366,38,1
367,43,0
368,37,1
369,40,0
370,37,1
371,29,1
372,59,0
373,44,0
374,29,1
375,37,0
376,52,0
377,31,0
378,65,0
379,21,1
380,31,0
381,20,1
382,54,0
383,24,0
384,44,0
385,34,0
386,31,1
387,23,1
388,39,0
389,37,0
390,31,0
391,25,1
392,45,0
393,28,1
394,44,0
395,29,1
396,35,1
397,33,1
398,23,1
399,29,0
400,43,0
401,35,1
402,22,0
403,37,1
404,37,0
405,22,0
406,43,1
407,44,0
408,28,1
409,37,1
410,33,1
411,30,1
412,71,1
413,34,0
414,66,1
415,25,0
416,36,1
417,31,1
418,19,0
419,20,1
420,54,0
421,34,0
422,52,0
423,66,1
424,30,1
425,35,1
426,32,0
427,34,1
428,25,1
429,49,0
430,31,0
431,37,1
432,42,0
433,27,0
434,45,0
435,42,0
436,24,0
437,46,0
438,42,0
439,47,1
440,29,1
441,32,0
442,22,1
443,29,1
444,33,0
445,21,0
446,25,1
447,37,0
448,61,0
449,48,0
450,54,1
451,48,0
452,51,0
453,55,0
454,78,0
455,41,0
456,71,1
457,47,1
458,39,0
459,69,0
460,64,1
461,30,0
462,60,0
463,33,0
464,42,1
465,43,1
466,69,0
467,56,1
468,39,1
469,38,0
470,72,1
471,22,0
472,35,0
473,41,0
474,37,0
475,38,0
476,31,1
477,40,1
478,59,1
479,37,0
480,29,0
481,34,0
482,48,1
483,30,1
484,34,1
485,36,0
486,26,1
487,57,0
488,44,1
489,33,0
490,25,1
491,28,1
492,38,0
493,43,0
495,25,0
496,29,1
497,42,1
498,39,1
499,32,1
500,49,1
501,39,1
502,51,0
503,27,0
504,65,1
505,46,1
506,24,1
507,46,1
508,37,1
509,44,0
510,51,0
511,36,1
512,30,1
513,33,0
514,32,1
515,35,0
516,38,1
517,53,1
518,30,0
519,30,1
520,71,1
521,38,1
522,18,1
523,34,1
524,53,1
525,42,1
526,32,1
527,31,0
528,34,0
529,36,0
530,38,0
531,77,1
532,47,0
533,41,1
534,48,1
535,27,0
536,30,0
537,29,1
538,37,1
539,50,0
540,41,1
541,42,1
542,31,1
543,27,0
544,50,0
545,28,1
546,51,1
547,37,1
548,28,0
549,50,1
550,55,0
551,35,0
552,44,1
553,41,0
554,36,0
555,62,0
556,34,1
557,55,0
558,49,0
559,30,0
560,29,0
561,41,0
562,36,1
563,54,0
564,48,1
565,28,0
566,48,1
567,42,1
568,42,0
569,44,0
570,25,1
571,41,0
573,52,1
574,84,1
575,37,1
576,27,0
577,50,1
578,53,0
579,44,0
580,42,1
581,44,0
582,43,1
583,50,0
584,25,1
585,59,0
586,42,0
587,39,1
588,58,1
589,45,0
590,51,0
591,35,0
592,44,0
593,36,0
594,44,1
595,53,0
596,31,1
597,20,1
598,35,1
599,43,0
600,30,0
601,50,0
602,25,1
603,20,1
604,31,1
605,40,1
606,33,1
607,37,0
608,53,1
609,66,1
610,39,1
611,36,0
612,60,1
613,53,0
614,36,1
615,43,0
616,41,1
617,23,1
618,40,0
619,42,0
620,20,1
621,27,1
622,40,1
623,65,0
624,59,1
625,66,1
626,33,1
627,22,1
628,52,0
629,46,1
630,25,0
631,39,0
632,20,1
633,21,0
634,22,0
635,48,1
636,35,1
637,62,0
638,22,0
639,44,1
640,52,0
641,71,0
642,33,1
643,29,0
644,48,1
645,24,1
646,37,0
647,28,0
648,36,1
649,38,0
650,63,1
651,22,0
652,20,0
653,43,0
654,30,0
655,30,0
656,29,1
657,24,1
658,53,1
659,39,0
660,25,0
661,29,1
662,19,1
663,34,1
664,41,1
665,44,1
666,52,0
667,21,0
668,34,1
669,45,0
670,50,1
671,47,0
672,37,1
673,36,0
674,52,0
675,26,1
676,47,0
677,21,0
678,45,0
679,69,1
680,52,0
681,27,1
682,64,1
683,31,1
684,34,1
685,24,0
686,29,1
687,22,1
688,56,0
689,46,0
690,31,1
691,66,0
692,42,0
693,71,1
694,30,1
695,46,1
696,65,0
697,33,1
698,39,0
699,78,1
700,38,1
701,30,0
702,20,1
703,28,1
704,46,1
705,50,1
706,21,0
707,60,0
708,43,1
709,27,1
710,44,0
711,36,1
712,26,0
713,29,0
714,52,1
715,32,1
716,26,1
717,25,1
718,31,0
719,27,0
720,57,1
721,29,0
722,56,1
723,25,1
724,20,1
725,32,1
726,28,0
727,52,1
728,35,0
729,40,0
730,19,0
731,37,1
732,48,0
733,43,0
734,65,0
735,37,0
736,41,1
737,43,0
738,56,1
739,42,0
740,48,0
741,29,0
742,52,1
743,50,1
744,25,1
745,25,1
746,21,0
747,40,0
748,30,0
749,34,0
750,39,0
751,26,0
752,26,0
753,48,1
754,32,0
755,49,0
756,44,0
757,41,0
758,58,1
759,21,1
760,25,1
761,25,0
762,19,1
763,28,1
764,46,1
765,22,0
766,36,1
767,60,1
768,44,0
769,46,0
770,29,0
771,39,0
772,24,1
773,52,0
774,36,0
775,41,1
776,21,1
777,31,0
778,30,0
779,60,0
780,36,0
781,27,1
782,31,0
783,67,1
784,52,0
785,26,0
786,26,1
787,19,0
788,25,0
789,31,0
790,48,0
791,19,0
792,70,1
793,37,1
794,48,0
795,39,1
796,51,0
797,41,1
798,42,0
799,43,0
800,28,1
801,52,1
802,50,1
803,28,1
804,22,0
805,42,0
806,44,1
807,56,1
808,43,1
809,36,1
810,49,1
811,57,0
812,28,1
813,20,0
814,34,0
815,28,0
816,48,0
817,43,0
818,45,1
819,19,1
820,40,0
821,60,1
822,26,1
823,38,1
824,31,1
825,30,0
826,41,0
827,25,1
828,23,1
829,40,1
830,29,1
831,57,1
832,43,1
833,54,0
834,70,1
835,54,1
836,43,1
837,36,0
838,25,1
839,42,0
840,65,0
841,41,0
842,19,0
843,54,0
844,30,1
845,36,0
846,41,0
847,62,1
848,51,1
849,44,1
850,30,1
851,20,0
852,24,1
853,53,0
854,39,1
855,64,0
856,32,1
857,40,1
858,46,1
859,43,0
860,33,1
861,39,0
862,75,1
863,44,1
864,38,1
865,30,1
866,19,1
867,20,1
868,34,1
869,58,1
870,38,1
871,47,0
872,36,1
873,19,1
874,54,1
875,39,1
876,52,0
877,27,1
878,47,0
879,38,0
880,20,1
881,33,1
882,30,1
883,36,1
884,21,1
885,29,1
886,37,1
887,38,1
888,24,0
889,27,0
890,31,0
891,30,1
892,33,1
893,33,1
894,57,1
895,25,0
896,33,0
897,58,0
898,48,0
899,33,1
900,45,1
901,48,1
902,48,1
903,38,1
904,36,1
905,39,1
906,33,1
907,51,1
908,24,1
909,42,0
910,26,1
911,61,0
912,41,1
913,32,0
914,34,1
915,36,0
916,41,0
917,19,0
918,48,1
919,48,0
920,34,1
921,46,1
922,67,1
923,55,1
924,45,0
925,28,1
926,30,1
927,59,1
928,38,0
929,27,0
930,28,0
931,27,0
932,62,1
933,30,0
934,51,1
935,50,0
936,52,0
937,54,1
938,36,1
939,28,1
940,24,0
941,34,0
942,27,1
943,43,1
944,42,1
945,44,1
946,54,0
947,39,1
948,58,1
949,39,1
950,30,0
951,47,0
952,34,1
953,49,1
954,47,1
955,52,0
956,42,1
957,32,1
958,40,0
959,55,1
960,30,0
961,31,0
962,53,1
963,38,1
964,29,0
965,44,1
966,36,1
967,54,0
968,34,0
969,45,1
970,32,1
971,26,1
972,32,0
973,66,0
974,27,1
975,60,0
976,37,0
977,35,1
978,27,1
979,41,0
980,54,1
981,53,1
982,48,1
983,73,1
984,46,1
985,27,1
986,50,1
987,40,0
988,35,0
989,42,1
990,50,0
991,23,1
992,41,0
993,78,0
994,39,0
995,46,0
996,24,0
997,20,1
998,49,0
999,32,1
1000,44,0
1001,30,1
1002,51,0
1003,35,0
1004,48,0
1005,65,0
1006,28,1
1007,54,0
1008,37,0
1009,36,0
1010,34,1
1011,44,1
1012,46,1
1013,34,1
1014,23,0
1015,66,0
1016,31,1
1017,59,0
1018,34,0
1019,51,0
1020,48,0
1021,57,0
1022,43,1
1023,50,1
1024,65,1
1026,30,0
1027,37,1
1028,55,1
1029,30,0
1030,27,1
1031,34,1
1032,32,1
1033,38,0
1034,34,1
1035,66,0
1036,30,1
1037,47,1
1038,35,0
1039,22,0
1040,19,1
1041,21,1
1042,42,0
1043,27,1
1044,35,1
1045,33,0
1046,49,1
1047,42,0
1048,26,0
1049,35,1
1050,41,0
1051,29,0
1052,68,0
1053,43,0
1054,50,1
1055,38,1
1056,39,0
1057,25,0
1058,48,1
1059,37,1
1060,78,1
1061,65,0
1062,40,0
1063,50,0
1064,24,0
1065,24,1
1066,56,1
1067,49,1
1068,29,1
1069,37,1
1070,44,1
1071,50,1
1072,58,1
1073,50,0
1074,37,0
1075,48,1
1076,60,0
1077,61,1
1078,41,0
1079,66,1
1080,35,1
1081,30,1
1082,58,0
1083,35,0
1084,40,0
1085,21,0
1086,70,0
1087,48,1
1088,34,1
1089,41,0
1090,33,0
1091,32,1
1092,26,1
1093,32,1
1094,46,1
1095,65,0
1096,22,0
1097,44,0
1098,59,1
1099,26,1
1100,36,1
1101,35,1
1102,27,0
1103,60,0
1104,32,0
1105,29,0
1106,35,0
1107,38,0
1108,43,1
1109,40,1
1110,34,0
1111,24,0
1112,37,0
1113,72,0
1114,23,1
1115,42,1
1116,33,0
1117,49,0
1118,27,1
1119,50,1
1120,72,1
1121,43,1
1122,34,0
1123,57,1
1124,45,1
1125,30,1
1126,27,0
1127,34,0
1128,51,1
1129,48,1
1130,45,1
1131,26,0
1132,36,1
1133,33,0
1134,75,0
1135,35,1
1136,48,1
1137,43,1
1138,27,1
1139,23,1
1140,48,0
1141,45,0
1142,61,1
1143,26,0
1144,23,1
1145,48,0
1146,39,1
1147,30,0
1148,32,1
1149,36,1
1150,22,1
1151,31,0
1152,35,1
1153,19,0
1154,31,1
1155,47,0
1156,35,1
1157,25,0
1158,38,0
1159,24,1
1160,31,0
1161,37,0
1162,34,1
1163,28,1
1164,55,1
1165,31,0
1166,19,0
1167,42,0
1168,21,1
1169,41,1
1170,41,0
1171,48,1
1172,32,1
1173,45,1
1174,20,1
1175,57,0
1176,49,0
1177,40,0
1178,30,1
1179,49,1
1180,59,1
1181,63,0
1182,42,1
1183,51,0
1184,37,0
1185,64,1
1186,28,0
1187,41,0
1188,42,1
1189,63,0
1190,37,1
1191,30,0
1192,43,0
1193,31,0
1194,43,0
1195,42,1
1196,43,0
1197,32,0
1198,29,0
1199,32,0
1200,47,1
1201,44,0
1202,39,1
1203,52,1
1204,39,1
1205,50,0
1206,30,0
1207,35,0
1208,22,1
1209,42,0
1210,27,0
1211,41,0
1212,41,1
1213,38,1
1214,54,0
1215,57,0
1216,60,1
1217,69,0
1218,48,0
1219,48,1
1220,24,0
1221,30,1
1222,28,1
1223,26,1
1224,55,1
1225,59,0
1226,70,0
1227,44,1
1228,47,1
1229,43,1
1230,43,1
1231,54,1
1232,57,0
1233,34,1
1234,56,1
1235,39,1
1236,33,1
1237,35,1
1238,33,1
1239,47,1
1240,29,1
1241,22,0
1242,21,0
1243,51,0
1244,56,1
1245,29,1
1246,19,1
1247,38,1
1248,44,1
1249,39,0
1250,60,1
1251,23,0
1252,56,1
1253,28,0
1254,49,0
1255,61,0
1256,34,1
1257,20,1
1258,29,1
1259,73,1
1260,65,0
1261,38,0
1262,44,1
1263,56,1
1264,43,1
1265,40,0
1266,32,1
1267,25,1
1268,60,0
1269,36,0
1270,26,0
1271,33,1
1272,55,1
1273,39,1
1274,67,1
1275,27,0
1276,29,0
1277,33,1
1278,39,0
1279,41,1
1280,28,1
1281,46,1
1282,44,1
1283,41,0
1284,53,1
1285,53,0
1286,49,0
1287,37,1
1288,25,1
1289,31,0
1290,33,1
1291,46,1
1292,23,0
1293,31,0
1294,68,1
1295,25,1
1296,54,0
1297,35,0
1298,32,0
1299,40,1
1300,70,1
1301,20,1
1302,38,0
1303,69,0
1304,31,1
1305,34,1
1306,34,1
1307,35,0
1308,66,0
1309,37,0
1310,49,1
1311,46,1
1312,40,0
1313,20,0
1314,28,1
1315,59,0
1316,58,0
1317,28,0
1318,36,1
1319,59,1
1320,23,1
1321,25,1
1322,53,1
1323,41,0
1324,36,1
1325,31,0
1326,37,1
1327,42,0
1328,29,0
1329,52,1
1330,46,1
1331,21,1
1332,26,0
1333,38,0
1334,34,0
1335,23,1
1336,32,0
1337,47,1
1338,27,1
1339,54,0
