participantId,wave,session_id,eval_start,persona_ai1,persona_ai2,dual_condition,side_assignment,pre_active_m2_ann,post_active_m2_ann
879,wave3,17,2026-06-09,Neutral,E-Seeking,dual_opposition,opposition_above,-0.0699294555871219,-0.0361375691858715
1063,wave3,17,2026-06-09,S-Averse,S-Seeking,dual_balanced,ai1_averse_ai2_seeking,-0.0054933340048476,0.0060993915613183
620,wave3,17,2026-06-09,E-Averse,S-Averse,dual_opposition,opposition_below,-0.088984523315664,-0.0397976210237873
1430,wave3,17,2026-06-09,E-Seeking,Neutral,dual_balanced,ai1_seeking_ai2_averse,-0.059287398379238,-0.0625602845128846
1253,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0477607256154589,-0.0477607256154589
1402,wave3,17,2026-06-09,S-Seeking,E-Averse,dual_balanced,ai1_seeking_ai2_averse,-0.0115821576274047,-0.0647290596770641
1292,wave3,17,2026-06-09,E-Averse,E-Averse,dual_opposition,opposition_below,-0.0522390150805057,-0.0463852247755311
590,wave3,17,2026-06-09,S-Seeking,E-Seeking,dual_opposition,opposition_above,0.0312585312037641,0.0106279212299842
1590,wave3,17,2026-06-09,Neutral,Neutral,dual_opposition,opposition_above,0.0128302629047427,-0.0180749415386413
2375,wave3,17,2026-06-09,E-Averse,S-Seeking,dual_balanced,ai1_averse_ai2_seeking,-0.0254381988143275,-0.012474331099633
1878,wave3,17,2026-06-09,E-Seeking,Neutral,dual_opposition,opposition_above,-0.073643968013288,-0.0576502533113363
654,wave3,17,2026-06-09,E-Seeking,S-Averse,dual_balanced,ai1_seeking_ai2_averse,-0.0608664442831151,-0.0333602759174692
1519,wave3,17,2026-06-09,S-Averse,S-Averse,dual_opposition,opposition_above,-0.0892512642544063,-0.036024345054315
2201,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0114361653014235,0.0005472118965215
842,wave3,17,2026-06-09,S-Averse,S-Averse,dual_opposition,opposition_below,-0.0762113386626442,-0.0762113386626442
550,wave3,17,2026-06-09,Neutral,Neutral,dual_opposition,opposition_above,0.0289569427233065,-0.0215969218351539
1615,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0224651163586413,-0.0512781383129288
1449,wave3,17,2026-06-09,S-Seeking,E-Seeking,dual_opposition,opposition_above,-0.0874490843208935,-0.0874490843208935
402,wave3,17,2026-06-09,E-Averse,S-Seeking,dual_balanced,ai1_averse_ai2_seeking,-0.0314134696005949,-0.0139739024359698
1497,wave3,17,2026-06-09,E-Seeking,S-Seeking,dual_opposition,opposition_above,-0.0353780536117155,-0.0326395009485636
1961,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,0.0120635126498996,-0.0085750463865661
207,wave3,17,2026-06-09,S-Seeking,E-Seeking,dual_opposition,opposition_above,-0.0461423151653159,-0.0399728991273563
64,wave3,17,2026-06-09,S-Averse,S-Averse,dual_opposition,opposition_below,0.0155534029088804,0.0108289847127129
1413,wave3,17,2026-06-09,S-Seeking,E-Seeking,dual_opposition,opposition_above,-0.0461154888736709,-0.0511621006648682
1095,wave3,17,2026-06-09,S-Averse,S-Averse,dual_opposition,opposition_above,-0.0423224590046743,-0.0474915445307417
2080,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0416890121301006,-0.0305743132980745
274,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0519662075022491,-0.0480944773079741
1255,wave3,17,2026-06-09,S-Seeking,S-Seeking,dual_opposition,opposition_above,-0.0669037942792782,-0.0405907084794237
1617,wave3,17,2026-06-09,Default,Default,dual_nonbiased,,-0.0421327009151146,-0.0421327009151146
2343,wave3,17,2026-06-09,S-Seeking,E-Averse,dual_balanced,ai1_seeking_ai2_averse,-0.0360570993057942,-0.0473849608794217
91,wave3,17,2026-06-09,S-Averse,E-Averse,dual_balanced,ai1_seeking_ai2_averse,0.0103065373291843,0.013616711696293
1245,wave3,17,2026-06-09,E-Averse,E-Averse,dual_opposition,opposition_below,0.0133498069382086,0.0080819121701558
