participantId,Age_enc,Sex_enc,work_in_finance_enc,invest_own_score,first_invest_time_enc,trade_freq_12m_enc,news_follow_freq_enc,risk_pref_score,time_preference_switch,fin_lit_score,fin_lit_selfassess_1_enc,fin_overconfidence_1_enc,portfolio_confidence_1_enc,trust_ai_score,market_outlook_2wk_enc,market_volatility_2w_enc
1269,36,0,0,0.1428571428571428,3,2.0,1,0.25,1,0.5714285714285714,20.0,3.0,3.0,3.75,4,6.0
879,38,0,0,0.2,5,,0,0.2083333333333333,1,0.7142857142857143,70.0,2.0,2.0,3.5,5,3.0
1063,50,0,0,0.25,5,2.0,3,0.5,6,0.7142857142857143,70.0,5.0,6.0,5.0,2,7.0
620,20,1,1,0.375,2,,2,0.5833333333333334,1,0.8571428571428571,70.0,6.0,5.0,3.75,5,3.0
1430,21,1,0,0.375,4,2.0,2,0.5833333333333333,1,0.8571428571428571,90.0,6.0,6.0,3.25,6,4.0
1253,28,0,0,0.25,2,2.0,2,0.2916666666666666,4,0.0,30.0,6.0,5.0,4.0,3,4.0
1402,41,0,0,1.0,4,,1,0.6666666666666666,1,0.7142857142857143,20.0,2.0,1.0,1.75,5,7.0
1292,23,0,1,0.5,2,3.0,3,0.625,2,1.0,90.0,6.0,6.0,4.0,5,4.0
590,51,0,0,0.375,5,,1,0.0,1,1.0,60.0,2.0,1.0,5.5,2,4.0
1590,54,0,0,0.375,2,1.0,1,0.0833333333333333,1,0.7142857142857143,60.0,4.0,3.0,4.0,3,4.0
2375,36,0,0,0.375,1,,2,0.6666666666666666,6,1.0,80.0,3.0,5.0,3.75,4,5.0
1878,33,0,0,0.25,2,1.0,2,0.2083333333333333,2,1.0,80.0,4.0,6.0,4.5,5,4.0
654,30,0,0,0.125,1,1.0,1,0.5833333333333333,8,0.5714285714285714,60.0,1.0,4.0,4.5,4,5.0
1519,27,0,0,0.1666666666666666,3,1.0,2,0.0833333333333333,1,0.5714285714285714,70.0,5.0,5.0,3.75,3,6.0
2201,61,1,0,0.5,5,1.0,2,0.0833333333333333,1,0.8571428571428571,80.0,4.0,6.0,2.0,5,6.0
842,19,0,1,0.5,1,2.0,1,0.5416666666666666,5,0.5714285714285714,50.0,2.0,2.0,4.25,2,3.0
550,55,0,0,0.0,1,,1,0.0833333333333333,1,0.7142857142857143,50.0,1.0,1.0,2.75,4,3.0
1615,33,1,1,0.625,3,2.0,3,0.7916666666666667,4,0.8571428571428571,70.0,4.0,4.0,4.75,4,4.0
1449,28,1,0,0.25,4,3.0,3,0.3333333333333333,8,0.8571428571428571,70.0,7.0,7.0,1.75,7,6.0
402,22,0,0,0.125,2,,2,0.2916666666666666,1,0.8571428571428571,80.0,5.0,3.0,3.75,5,6.0
1497,28,0,1,0.375,3,1.0,1,0.3333333333333333,1,0.8571428571428571,90.0,5.0,5.0,5.0,2,5.0
1961,44,1,0,0.5,5,2.0,2,0.3333333333333333,1,0.8571428571428571,30.0,2.0,4.0,4.0,3,4.0
207,34,1,1,0.375,3,1.0,2,0.2916666666666666,6,1.0,90.0,4.0,5.0,5.0,5,4.0
64,35,1,1,0.75,4,3.0,2,0.5833333333333333,1,1.0,100.0,4.0,4.0,4.0,4,4.0
1413,42,1,0,0.5714285714285714,4,1.0,3,0.375,2,0.7142857142857143,50.0,2.0,2.0,2.75,3,5.0
1095,65,0,0,0.375,5,1.0,3,0.1666666666666666,1,0.8571428571428571,80.0,4.0,5.0,2.0,6,4.0
2080,30,1,0,0.625,3,,1,0.6666666666666666,1,0.5714285714285714,20.0,2.0,2.0,4.5,5,5.0
274,36,0,1,0.375,5,2.0,3,0.4166666666666666,1,1.0,90.0,5.0,6.0,3.75,5,4.0
1255,61,0,0,0.125,5,2.0,2,0.4583333333333333,1,0.8571428571428571,70.0,4.0,5.0,3.75,6,4.0
1617,32,0,0,0.125,2,2.0,2,0.625,6,0.8571428571428571,60.0,5.0,5.0,4.0,2,2.0
2343,31,0,0,0.125,4,,0,0.125,3,0.7142857142857143,40.0,1.0,1.0,3.25,1,6.0
91,36,0,0,0.5714285714285714,3,2.0,0,0.125,6,0.7142857142857143,30.0,2.0,2.0,1.0,5,6.0
1245,29,1,0,0.375,5,2.0,2,0.6666666666666667,1,0.8571428571428571,80.0,5.0,5.0,3.5,4,6.0
530,38,0,0,0.25,4,1.0,1,0.1666666666666666,1,0.7142857142857143,60.0,5.0,1.0,3.25,5,2.0
1082,58,0,0,0.375,5,2.0,3,0.25,6,1.0,90.0,4.0,6.0,5.0,4,4.0
488,44,1,0,0.25,4,,3,0.375,4,0.8571428571428571,90.0,6.0,7.0,3.75,6,4.0
553,41,0,1,0.5,5,1.0,1,0.3333333333333333,1,0.8571428571428571,90.0,4.0,4.0,3.5,5,3.0
302,38,1,1,0.5714285714285714,3,2.0,3,0.5833333333333333,1,0.7142857142857143,80.0,5.0,5.0,3.0,5,4.0
2067,33,0,0,0.1666666666666666,3,1.0,1,0.125,1,0.7142857142857143,30.0,1.0,1.0,3.25,3,3.0
4,26,1,0,0.125,4,1.0,2,0.3333333333333333,1,0.7142857142857143,70.0,5.0,4.0,1.25,4,6.0
