participantId,ai_group,wave,session_id,n_followup_turns,followup_words,length_per_round,status,behavioral,cognitive,emotional,autonomy,social_presence,overall,overall_label
2,Somewhat Risk-Seeking,wave2,12,1,13,13.0,ok,1,1,1,2.0,0,1.0,Low
3,Extremely Risk-Seeking,wave2,12,2,53,26.5,ok,2,3,2,2.0,1,2.0,Moderate
7,Extremely Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
8,Extremely Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
9,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
13,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
16,Somewhat Risk-Seeking,wave2,12,1,9,9.0,ok,1,1,1,2.0,1,1.2,Low
18,Risk-Neutral,wave3,15,1,68,68.0,ok,2,2,3,2.0,2,2.2,Moderate
19,Extremely Risk-Seeking,wave3,15,1,17,17.0,ok,2,2,2,2.0,0,1.6,Moderate
20,Extremely Risk-Seeking,wave2,12,1,10,10.0,ok,1,2,2,1.0,0,1.2,Low
23,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
24,Somewhat Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
25,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
27,Risk-Neutral,wave1,7,4,39,9.75,ok,3,1,3,2.0,2,2.2,Moderate
29,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
35,Extremely Risk-Seeking,wave3,15,4,170,42.5,ok,3,3,2,3.0,1,2.4,Moderate
36,Extremely Risk-Averse,wave2,12,2,14,7.0,ok,1,1,3,1.0,2,1.6,Moderate
38,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
40,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
43,Risk-Neutral,wave2,12,3,28,9.333333333333334,ok,3,2,1,3.0,1,2.0,Moderate
46,Extremely Risk-Averse,wave1,5,2,39,19.5,ok,3,3,2,2.0,1,2.2,Moderate
49,Somewhat Risk-Seeking,wave1,5,1,20,20.0,ok,2,2,1,3.0,1,1.8,Moderate
53,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
58,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
60,Risk-Neutral,wave2,12,2,22,11.0,ok,2,2,1,3.0,1,1.8,Moderate
62,Somewhat Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
63,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
65,Extremely Risk-Seeking,wave2,12,2,28,14.0,ok,3,3,2,1.0,1,2.0,Moderate
67,Somewhat Risk-Averse,wave3,15,2,32,16.0,ok,3,2,2,2.0,0,1.8,Moderate
68,Somewhat Risk-Seeking,wave1,5,2,11,5.5,ok,1,1,1,1.0,1,1.0,Low
69,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
70,Somewhat Risk-Averse,wave3,15,1,12,12.0,ok,1,2,2,2.0,0,1.4,Moderate
75,Extremely Risk-Seeking,wave3,15,2,25,12.5,ok,2,2,2,2.0,1,1.8,Moderate
78,Somewhat Risk-Averse,wave2,12,1,29,29.0,ok,2,2,2,2.0,1,1.8,Moderate
79,Default,wave1,7,1,16,16.0,ok,2,2,2,2.0,0,1.6,Moderate
80,Extremely Risk-Seeking,wave2,12,2,44,22.0,ok,3,3,2,2.0,1,2.2,Moderate
87,Extremely Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
89,Extremely Risk-Seeking,wave3,15,1,16,16.0,ok,1,1,2,3.0,0,1.4,Moderate
90,Extremely Risk-Averse,wave2,12,2,33,16.5,ok,3,3,2,2.0,1,2.2,Moderate
93,Extremely Risk-Averse,wave3,15,1,10,10.0,ok,0,1,2,1.0,0,0.8,Low
97,Risk-Neutral,wave2,12,1,19,19.0,ok,2,3,2,2.0,1,2.0,Moderate
98,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
101,Somewhat Risk-Averse,wave1,7,2,90,45.0,ok,3,3,2,3.0,1,2.4,Moderate
103,Somewhat Risk-Seeking,wave3,15,3,20,6.666666666666667,ok,2,1,3,1.0,2,1.8,Moderate
104,Extremely Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
105,Risk-Neutral,wave1,7,1,26,26.0,ok,2,2,1,3.0,1,1.8,Moderate
106,Risk-Neutral,wave3,15,2,31,15.5,ok,3,3,2,2.0,1,2.2,Moderate
107,Extremely Risk-Averse,wave2,12,1,7,7.0,ok,0,1,1,1.0,0,0.6,Low
116,Risk-Neutral,wave2,12,1,9,9.0,ok,1,2,1,0.0,0,0.8,Low
117,Risk-Neutral,wave2,12,1,3,3.0,ok,0,0,1,2.0,0,0.6,Low
120,Default,wave3,15,2,30,15.0,ok,3,2,2,2.0,1,2.0,Moderate
121,Risk-Neutral,wave3,15,2,31,15.5,ok,3,2,1,1.0,0,1.4,Low
122,Extremely Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
125,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
126,Extremely Risk-Averse,wave2,12,1,10,10.0,ok,1,1,1,2.0,0,1.0,Low
127,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
128,Default,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
129,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
