participantId,dual_condition,wave,session_id,n_followup_turns,followup_words,length_per_round,status,behavioral,cognitive,emotional,autonomy,social_presence,overall,overall_label
4,dual_nonbiased,wave3,17,1,5,5.0,ok,1,1,2,1.0,0,1.0,Low
6,dual_opposition,wave2,14,1,15,15.0,ok,2,2,1,1.0,1,1.4,Low
10,dual_nonbiased,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
11,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
12,dual_balanced,wave1,11,1,5,5.0,ok,1,1,1,1.0,0,0.8,Low
15,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
17,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
21,dual_nonbiased,wave1,8,2,39,19.5,ok,3,3,2,1.0,1,2.0,Moderate
22,dual_balanced,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
28,dual_nonbiased,wave3,17,1,10,10.0,ok,1,2,3,2.0,1,1.8,Moderate
32,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
34,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
37,dual_balanced,wave3,17,1,16,16.0,ok,2,2,2,2.0,0,1.6,Moderate
39,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
41,dual_nonbiased,wave3,17,1,15,15.0,ok,2,1,1,1.0,1,1.2,Low
42,dual_balanced,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
45,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
47,dual_balanced,wave1,11,1,7,7.0,ok,1,1,2,1.0,1,1.2,Low
50,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
51,dual_balanced,wave3,17,1,8,8.0,ok,1,1,2,2.0,1,1.4,Low
52,dual_nonbiased,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
54,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
55,dual_balanced,wave1,6,2,23,11.5,ok,2,2,1,2.0,1,1.6,Moderate
56,dual_nonbiased,wave3,17,4,61,15.25,ok,3,2,3,2.0,2,2.4,Moderate
57,dual_opposition,wave2,14,2,17,8.5,ok,2,1,1,2.0,1,1.4,Moderate
61,dual_balanced,wave2,14,2,66,33.0,ok,2,2,3,1.0,2,2.0,Moderate
64,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
66,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
71,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
72,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
73,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
74,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
76,dual_opposition,wave2,14,2,43,21.5,ok,3,3,2,3.0,1,2.4,Moderate
77,dual_nonbiased,wave3,17,1,13,13.0,ok,1,1,1,1.0,0,0.8,Low
81,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
82,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
86,dual_nonbiased,wave3,17,1,25,25.0,ok,2,2,2,2.0,1,1.8,Moderate
91,dual_balanced,wave3,17,3,101,33.666666666666664,ok,3,2,2,2.0,1,2.0,Moderate
95,dual_nonbiased,wave3,17,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
96,dual_opposition,wave2,14,2,53,26.5,ok,3,3,2,1.0,1,2.0,Moderate
99,dual_opposition,wave1,8,1,14,14.0,ok,2,2,2,2.0,1,1.8,Moderate
100,dual_opposition,wave3,17,2,14,7.0,ok,2,2,1,1.0,0,1.2,Moderate
102,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
108,dual_opposition,wave1,10,1,29,29.0,ok,2,2,1,3.0,0,1.6,Moderate
109,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
110,dual_opposition,wave2,14,1,27,27.0,ok,2,2,2,1.0,1,1.6,Moderate
111,dual_nonbiased,wave1,10,2,94,47.0,ok,2,3,3,3.0,2,2.6,High
112,dual_balanced,wave2,14,1,10,10.0,ok,1,1,1,2.0,1,1.2,Low
113,dual_opposition,wave1,8,1,17,17.0,ok,2,2,2,1.0,1,1.6,Moderate
115,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
118,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
119,dual_nonbiased,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
123,dual_balanced,wave3,17,1,8,8.0,ok,2,1,2,1.0,1,1.4,Moderate
124,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
136,dual_balanced,wave1,6,0,0,,no_followup,0,0,0,,0,0.0,
143,dual_balanced,wave3,17,1,12,12.0,ok,1,1,1,1.0,0,0.8,Low
144,dual_balanced,wave3,17,1,13,13.0,ok,1,1,1,1.0,1,1.0,Low
146,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
149,dual_nonbiased,wave3,17,1,7,7.0,ok,1,1,2,1.0,0,1.0,Low
150,dual_opposition,wave3,17,2,30,15.0,ok,2,2,2,2.0,1,1.8,Moderate
154,dual_balanced,wave2,14,1,17,17.0,ok,2,2,2,1.0,1,1.6,Moderate
156,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
158,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
159,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
163,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
164,dual_opposition,wave2,14,2,13,6.5,ok,2,2,2,1.0,1,1.6,Moderate
166,dual_opposition,wave1,8,2,47,23.5,ok,3,3,2,2.0,2,2.4,Moderate
169,dual_nonbiased,wave2,14,2,17,8.5,ok,2,2,2,2.0,1,1.8,Moderate
171,dual_balanced,wave3,17,1,33,33.0,ok,2,2,2,1.0,0,1.4,Moderate
173,dual_opposition,wave2,14,1,14,14.0,ok,1,2,2,1.0,1,1.4,Low
178,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
181,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
182,dual_opposition,wave1,6,1,30,30.0,ok,2,2,1,3.0,1,1.8,Moderate
184,dual_balanced,wave1,8,1,36,36.0,ok,2,2,2,2.0,1,1.8,Moderate
186,dual_balanced,wave3,17,1,12,12.0,ok,1,1,1,1.0,0,0.8,Low
187,dual_balanced,wave1,6,4,54,13.5,ok,3,2,2,3.0,1,2.2,Moderate
190,dual_opposition,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
192,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
194,dual_nonbiased,wave3,17,1,16,16.0,ok,2,2,1,2.0,1,1.6,Moderate
196,dual_balanced,wave2,14,4,245,61.25,ok,3,3,3,3.0,3,3.0,High
