participantId,Age_enc,Sex_enc,work_in_finance_enc,invest_own_score,first_invest_time_enc,trade_freq_12m_enc,news_follow_freq_enc,risk_pref_score,time_preference_switch,fin_lit_score,fin_lit_selfassess_1_enc,fin_overconfidence_1_enc,portfolio_confidence_1_enc,trust_ai_score,market_outlook_2wk_enc,market_volatility_2w_enc
1898,30,1,0,0.375,4,3.0,3,0.7916666666666667,2,0.8571428571428571,90.0,7.0,5.0,1.75,3,7.0
132,36,0,0,0.0,4,,1,0.7083333333333333,1,0.7142857142857143,60.0,1.0,1.0,1.75,5,2.0
1848,19,1,1,0.625,3,2.0,3,0.9166666666666669,8,0.8571428571428571,60.0,5.0,7.0,3.25,4,4.0
522,18,1,1,0.5,1,2.0,3,0.4583333333333333,5,1.0,80.0,5.0,3.0,2.25,3,5.0
2285,56,1,0,0.625,5,1.0,1,0.5833333333333333,1,1.0,90.0,3.0,4.0,5.25,2,4.0
1910,39,1,0,0.125,5,,1,0.5833333333333333,6,0.5714285714285714,70.0,5.0,5.0,4.5,3,5.0
1631,37,1,0,0.25,4,1.0,3,0.9166666666666669,1,1.0,100.0,7.0,6.0,2.75,4,3.0
716,26,1,0,0.375,1,2.0,1,0.4166666666666666,1,1.0,70.0,2.0,2.0,4.25,5,4.0
1040,19,1,0,0.2857142857142857,3,1.0,2,0.1666666666666666,3,0.8571428571428571,80.0,3.0,5.0,3.25,6,3.0
1893,46,0,0,0.0,1,,1,0.5416666666666666,2,0.8571428571428571,80.0,3.0,1.0,4.0,6,4.0
2128,57,0,0,0.0,5,,1,0.2083333333333333,1,0.8571428571428571,80.0,3.0,1.0,4.5,6,5.0
1199,32,0,0,0.375,2,2.0,1,0.4166666666666666,8,0.8571428571428571,40.0,4.0,3.0,2.0,4,3.0
2014,26,0,1,0.375,2,1.0,2,0.5833333333333333,7,0.8571428571428571,70.0,5.0,5.0,3.25,5,5.0
602,25,1,0,0.25,2,2.0,1,0.3333333333333333,1,0.8571428571428571,80.0,4.0,3.0,3.0,3,5.0
1677,25,0,0,0.0,3,,0,0.1666666666666666,1,1.0,30.0,1.0,1.0,2.0,1,4.0
987,40,0,0,0.125,3,,2,0.5833333333333333,7,0.4285714285714285,40.0,4.0,3.0,4.25,3,4.0
2225,71,0,0,0.5,3,2.0,3,0.2916666666666666,1,0.4285714285714285,20.0,1.0,2.0,4.75,4,4.0
1117,49,0,0,0.0,5,,3,0.0833333333333333,1,1.0,70.0,2.0,3.0,4.25,4,3.0
1809,57,0,0,0.625,5,2.0,3,0.0833333333333333,1,1.0,70.0,3.0,3.0,2.0,4,4.0
877,27,1,1,0.875,2,2.0,2,0.4583333333333333,1,0.7142857142857143,80.0,4.0,3.0,3.0,5,5.0
106,40,0,0,0.375,5,3.0,2,0.4583333333333333,1,0.8571428571428571,90.0,5.0,5.0,3.0,6,3.0
1537,41,0,0,0.25,5,1.0,3,0.6666666666666666,5,0.5714285714285714,50.0,5.0,5.0,2.25,3,7.0
1316,58,0,1,0.375,2,1.0,3,0.3333333333333333,1,0.7142857142857143,50.0,4.0,5.0,5.25,2,3.0
719,27,0,0,0.5,3,2.0,1,0.375,8,0.5714285714285714,50.0,3.0,3.0,4.0,5,5.0
2228,35,0,1,0.375,2,1.0,2,0.5833333333333333,2,0.5714285714285714,60.0,4.0,4.0,5.0,5,4.0
549,50,1,0,0.375,5,3.0,3,0.125,1,1.0,70.0,5.0,7.0,6.5,6,7.0
2102,28,0,0,0.25,3,,2,0.4583333333333333,8,0.7142857142857143,30.0,2.0,2.0,4.25,5,5.0
1557,37,0,0,0.375,5,1.0,2,0.4166666666666667,8,0.8571428571428571,60.0,3.0,3.0,4.5,5,4.0
596,31,1,1,0.625,5,3.0,3,0.3333333333333333,1,1.0,90.0,5.0,5.0,1.75,7,6.0
866,19,1,0,0.5,2,1.0,3,0.5833333333333333,3,1.0,80.0,4.0,4.0,4.5,4,6.0
367,43,0,1,0.625,5,3.0,3,0.0833333333333333,1,0.7142857142857143,70.0,4.0,5.0,3.75,4,4.0
870,38,1,0,0.375,4,3.0,1,0.8333333333333333,1,0.8571428571428571,70.0,4.0,3.0,2.5,5,6.0
2132,20,0,0,0.0,2,,0,0.0,1,0.5714285714285714,80.0,2.0,2.0,2.5,3,2.0
2122,55,1,0,0.75,5,1.0,3,0.2083333333333333,1,1.0,80.0,5.0,5.0,4.0,4,5.0
212,23,0,0,0.375,4,2.0,1,0.25,3,1.0,80.0,5.0,6.0,2.25,5,4.0
1773,30,1,0,0.0,4,,0,0.25,5,0.2857142857142857,30.0,2.0,2.0,4.5,3,4.0
1148,32,1,1,0.5,3,3.0,2,0.375,4,0.8571428571428571,80.0,6.0,5.0,4.25,5,5.0
1869,38,1,0,0.5,2,3.0,1,0.2083333333333333,1,1.0,90.0,6.0,4.0,4.25,5,5.0
548,28,0,0,0.0,1,,0,0.0,1,0.8571428571428571,60.0,1.0,1.0,1.75,3,6.0
1831,28,1,1,0.5,3,3.0,3,0.6666666666666667,1,0.8571428571428571,90.0,5.0,3.0,5.25,5,6.0
1363,31,0,0,0.0,2,,1,0.2083333333333333,1,0.8571428571428571,10.0,1.0,3.0,3.75,3,4.0
1530,32,1,0,0.125,1,,2,0.2083333333333333,1,0.8571428571428571,80.0,2.0,3.0,3.25,5,3.0
172,39,0,0,1.0,5,1.0,2,0.5833333333333333,1,0.7142857142857143,40.0,3.0,2.0,1.0,3,7.0
1473,23,1,0,0.625,3,3.0,2,0.3333333333333333,8,0.5714285714285714,60.0,4.0,4.0,4.5,6,4.0
1244,56,1,0,0.0,5,,2,0.25,1,0.7142857142857143,80.0,4.0,4.0,4.25,4,6.0
1936,25,0,0,0.25,2,1.0,1,0.4583333333333333,1,0.8571428571428571,60.0,5.0,2.0,3.75,4,3.0
441,32,0,0,0.3333333333333333,2,,0,0.25,1,0.8571428571428571,60.0,2.0,2.0,2.5,3,4.0
533,41,1,0,0.625,5,2.0,1,0.0,1,1.0,90.0,4.0,6.0,2.75,4,4.0
2019,20,1,0,0.375,2,2.0,2,0.0833333333333333,2,1.0,70.0,3.0,1.0,2.25,5,4.0
438,42,0,0,0.0,1,,2,0.3333333333333333,5,0.8571428571428571,60.0,4.0,5.0,4.25,1,5.0
1312,40,0,0,0.8,3,3.0,2,0.3333333333333333,1,0.8571428571428571,70.0,2.0,3.0,3.75,5,4.0
1892,65,1,0,0.375,5,,3,0.5833333333333334,1,1.0,80.0,6.0,5.0,4.0,3,6.0
2392,44,1,0,0.125,4,2.0,2,0.6666666666666667,1,0.8571428571428571,90.0,7.0,7.0,5.0,7,2.0
1335,23,1,0,0.5714285714285714,2,1.0,3,0.7083333333333333,3,0.7142857142857143,70.0,4.0,3.0,2.75,5,4.0
471,22,0,1,0.625,2,2.0,1,0.6666666666666667,4,0.8571428571428571,70.0,5.0,4.0,3.0,6,5.0
581,44,0,0,0.8,2,2.0,2,0.6666666666666666,1,0.4285714285714285,50.0,6.0,7.0,5.25,5,5.0
205,24,0,0,0.125,2,1.0,1,0.1666666666666666,1,0.8571428571428571,30.0,1.0,1.0,3.75,1,7.0
1756,22,0,0,0.25,1,,1,0.25,1,0.7142857142857143,20.0,3.0,2.0,5.0,2,2.0
432,42,0,1,0.5,5,2.0,1,0.2083333333333333,1,0.8571428571428571,100.0,3.0,3.0,4.0,3,4.0
1074,37,0,0,0.0,1,,0,0.5833333333333334,1,0.8571428571428571,30.0,1.0,1.0,6.0,4,5.0
1070,44,1,0,0.875,5,3.0,3,0.2083333333333333,2,0.8571428571428571,90.0,6.0,6.0,3.25,2,7.0
1421,33,0,0,0.2857142857142857,4,1.0,1,0.375,8,0.8571428571428571,70.0,5.0,5.0,5.25,5,3.0
1588,30,1,0,0.25,2,1.0,2,0.3333333333333333,4,0.7142857142857143,30.0,2.0,3.0,1.75,3,6.0
1503,35,0,0,0.375,4,3.0,3,0.75,1,0.8571428571428571,100.0,5.0,5.0,5.0,5,5.0
2121,34,1,0,0.375,2,2.0,1,0.5416666666666666,1,0.7142857142857143,70.0,2.0,3.0,3.5,5,6.0
1735,51,1,0,0.0,5,,0,0.0,1,0.7142857142857143,10.0,1.0,1.0,3.75,4,4.0
2376,53,1,0,0.5,5,1.0,2,0.5833333333333334,1,0.7142857142857143,80.0,5.0,6.0,2.25,5,4.0
2049,50,0,0,0.125,5,,2,0.125,8,0.8571428571428571,40.0,2.0,1.0,2.75,6,4.0
607,37,0,0,0.125,3,,1,0.4166666666666666,4,0.8571428571428571,80.0,5.0,2.0,2.75,4,3.0
249,60,0,1,0.0,3,,1,0.2916666666666666,1,0.8571428571428571,80.0,4.0,4.0,5.5,5,4.0
372,59,0,0,0.125,5,,0,0.0,1,0.7142857142857143,100.0,4.0,7.0,3.25,4,4.0
2107,37,0,0,,2,,1,0.0,1,0.5714285714285714,30.0,1.0,1.0,3.0,4,4.0
2125,31,0,0,0.25,2,2.0,2,0.5,5,1.0,60.0,3.0,4.0,4.25,5,4.0
1897,25,0,0,0.5,4,3.0,2,0.2083333333333333,3,0.7142857142857143,60.0,5.0,4.0,3.75,5,3.0
560,29,0,1,0.5,4,1.0,3,0.1666666666666666,1,1.0,100.0,6.0,6.0,6.0,6,4.0
289,46,0,0,0.25,3,1.0,1,0.9166666666666669,1,0.8571428571428571,70.0,1.0,1.0,5.0,1,6.0
1261,38,0,0,0.125,5,3.0,2,0.5833333333333334,1,0.8571428571428571,90.0,6.0,5.0,2.75,6,4.0
25,55,1,1,0.25,1,1.0,1,0.0833333333333333,1,0.7142857142857143,70.0,3.0,4.0,3.0,6,3.0
1787,35,0,0,0.375,2,1.0,1,0.8333333333333333,1,0.5714285714285714,20.0,2.0,2.0,4.25,3,4.0
