participantId,ai_role
1752,Mostly as a tool to assist me in making my own determinations
1365,Mostly as a tool to assist me in making my own determinations
1274,A mix of both a tool and an influencing agent
1629,A mix of both a tool and an influencing agent
767,A mix of both a tool and an influencing agent
699,Primarily as an agent trying to influence or persuade me in making determinations
1924,Mostly as a tool to assist me in making my own determinations
792,Mostly as a tool to assist me in making my own determinations
225,A mix of both a tool and an influencing agent
1486,A mix of both a tool and an influencing agent
1142,Mostly as a tool to assist me in making my own determinations
1801,Mostly as a tool to assist me in making my own determinations
1079,Mostly as a tool to assist me in making my own determinations
556,Primarily as an agent trying to influence or persuade me in making determinations
1664,Mostly as a tool to assist me in making my own determinations
1582,A mix of both a tool and an influencing agent
431,Mostly as a tool to assist me in making my own determinations
2047,Primarily as an agent trying to influence or persuade me in making determinations
1228,Mostly as a tool to assist me in making my own determinations
2204,A mix of both a tool and an influencing agent
1963,Mostly as a tool to assist me in making my own determinations
1125,Neither as a tool nor as an influencing agent
1138,Mostly as a tool to assist me in making my own determinations
1338,A mix of both a tool and an influencing agent
2226,Mostly as a tool to assist me in making my own determinations
2042,Primarily as an agent trying to influence or persuade me in making determinations
1431,A mix of both a tool and an influencing agent
989,A mix of both a tool and an influencing agent
541,Neither as a tool nor as an influencing agent
664,Mostly as a tool to assist me in making my own determinations
1385,Mostly as a tool to assist me in making my own determinations
1592,A mix of both a tool and an influencing agent
68,A mix of both a tool and an influencing agent
1311,Mostly as a tool to assist me in making my own determinations
1533,Mostly as a tool to assist me in making my own determinations
1443,A mix of both a tool and an influencing agent
2189,Mostly as a tool to assist me in making my own determinations
465,A mix of both a tool and an influencing agent
2171,Mostly as a tool to assist me in making my own determinations
2040,Primarily as an agent trying to influence or persuade me in making determinations
2213,Primarily as an agent trying to influence or persuade me in making determinations
1722,Primarily as an agent trying to influence or persuade me in making determinations
962,Mostly as a tool to assist me in making my own determinations
1101,A mix of both a tool and an influencing agent
497,Mostly as a tool to assist me in making my own determinations
1376,Primarily as an agent trying to influence or persuade me in making determinations
2254,Mostly as a tool to assist me in making my own determinations
2344,Neither as a tool nor as an influencing agent
49,Mostly as a tool to assist me in making my own determinations
2023,Mostly as a tool to assist me in making my own determinations
884,Primarily as an agent trying to influence or persuade me in making determinations
1403,Mostly as a tool to assist me in making my own determinations
46,A mix of both a tool and an influencing agent
941,A mix of both a tool and an influencing agent
1371,A mix of both a tool and an influencing agent
1527,Mostly as a tool to assist me in making my own determinations
2093,A mix of both a tool and an influencing agent
1411,Mostly as a tool to assist me in making my own determinations
1432,Mostly as a tool to assist me in making my own determinations
329,Mostly as a tool to assist me in making my own determinations
2149,Mostly as a tool to assist me in making my own determinations
1215,A mix of both a tool and an influencing agent
1662,Primarily as an agent trying to influence or persuade me in making determinations
874,Mostly as a tool to assist me in making my own determinations
591,Neither as a tool nor as an influencing agent
907,Mostly as a tool to assist me in making my own determinations
2233,A mix of both a tool and an influencing agent
881,A mix of both a tool and an influencing agent
1359,A mix of both a tool and an influencing agent
715,A mix of both a tool and an influencing agent
1028,Mostly as a tool to assist me in making my own determinations
421,Mostly as a tool to assist me in making my own determinations
391,A mix of both a tool and an influencing agent
1808,A mix of both a tool and an influencing agent
697,Mostly as a tool to assist me in making my own determinations
27,Mostly as a tool to assist me in making my own determinations
243,Mostly as a tool to assist me in making my own determinations
2052,Mostly as a tool to assist me in making my own determinations
2145,A mix of both a tool and an influencing agent
2281,Mostly as a tool to assist me in making my own determinations
2071,A mix of both a tool and an influencing agent
2140,Mostly as a tool to assist me in making my own determinations
728,Mostly as a tool to assist me in making my own determinations
133,A mix of both a tool and an influencing agent
914,A mix of both a tool and an influencing agent
1136,Primarily as an agent trying to influence or persuade me in making determinations
1853,Mostly as a tool to assist me in making my own determinations
1696,A mix of both a tool and an influencing agent
1146,Mostly as a tool to assist me in making my own determinations
1477,Mostly as a tool to assist me in making my own determinations
605,Primarily as an agent trying to influence or persuade me in making determinations
573,Primarily as an agent trying to influence or persuade me in making determinations
626,A mix of both a tool and an influencing agent
524,Mostly as a tool to assist me in making my own determinations
2312,Mostly as a tool to assist me in making my own determinations
224,A mix of both a tool and an influencing agent
1175,Mostly as a tool to assist me in making my own determinations
1196,Mostly as a tool to assist me in making my own determinations
1993,Mostly as a tool to assist me in making my own determinations
1164,Mostly as a tool to assist me in making my own determinations
629,A mix of both a tool and an influencing agent
1609,A mix of both a tool and an influencing agent
725,Mostly as a tool to assist me in making my own determinations
1344,Mostly as a tool to assist me in making my own determinations
552,A mix of both a tool and an influencing agent
1396,Mostly as a tool to assist me in making my own determinations
516,Mostly as a tool to assist me in making my own determinations
240,Mostly as a tool to assist me in making my own determinations
1510,Mostly as a tool to assist me in making my own determinations
105,Mostly as a tool to assist me in making my own determinations
125,A mix of both a tool and an influencing agent
1553,A mix of both a tool and an influencing agent
568,Mostly as a tool to assist me in making my own determinations
1087,Primarily as an agent trying to influence or persuade me in making determinations
1983,Mostly as a tool to assist me in making my own determinations
1127,A mix of both a tool and an influencing agent
807,Mostly as a tool to assist me in making my own determinations
1838,A mix of both a tool and an influencing agent
1891,A mix of both a tool and an influencing agent
155,A mix of both a tool and an influencing agent
1329,A mix of both a tool and an influencing agent
889,Primarily as an agent trying to influence or persuade me in making determinations
386,Mostly as a tool to assist me in making my own determinations
856,A mix of both a tool and an influencing agent
1093,A mix of both a tool and an influencing agent
1579,A mix of both a tool and an influencing agent
1463,Mostly as a tool to assist me in making my own determinations
778,A mix of both a tool and an influencing agent
168,Mostly as a tool to assist me in making my own determinations
1895,Mostly as a tool to assist me in making my own determinations
2347,Primarily as an agent trying to influence or persuade me in making determinations
435,A mix of both a tool and an influencing agent
651,Primarily as an agent trying to influence or persuade me in making determinations
1192,A mix of both a tool and an influencing agent
1416,Neither as a tool nor as an influencing agent
353,A mix of both a tool and an influencing agent
2068,Primarily as an agent trying to influence or persuade me in making determinations
1457,Mostly as a tool to assist me in making my own determinations
79,Mostly as a tool to assist me in making my own determinations
2245,A mix of both a tool and an influencing agent
2100,Mostly as a tool to assist me in making my own determinations
141,Mostly as a tool to assist me in making my own determinations
671,Mostly as a tool to assist me in making my own determinations
138,Neither as a tool nor as an influencing agent
1347,Neither as a tool nor as an influencing agent
306,Neither as a tool nor as an influencing agent
988,Mostly as a tool to assist me in making my own determinations
2167,Neither as a tool nor as an influencing agent
310,Neither as a tool nor as an influencing agent
2022,Primarily as an agent trying to influence or persuade me in making determinations
63,Mostly as a tool to assist me in making my own determinations
1217,Unsure
1842,Neither as a tool nor as an influencing agent
464,Unsure
1267,A mix of both a tool and an influencing agent
934,Neither as a tool nor as an influencing agent
876,Neither as a tool nor as an influencing agent
268,Neither as a tool nor as an influencing agent
148,Mostly as a tool to assist me in making my own determinations
746,Neither as a tool nor as an influencing agent
705,Mostly as a tool to assist me in making my own determinations
740,A mix of both a tool and an influencing agent
959,Mostly as a tool to assist me in making my own determinations
1023,Mostly as a tool to assist me in making my own determinations
179,Mostly as a tool to assist me in making my own determinations
984,Mostly as a tool to assist me in making my own determinations
1174,Primarily as an agent trying to influence or persuade me in making determinations
1024,A mix of both a tool and an influencing agent
583,Mostly as a tool to assist me in making my own determinations
453,Primarily as an agent trying to influence or persuade me in making determinations
1060,A mix of both a tool and an influencing agent
927,Mostly as a tool to assist me in making my own determinations
1472,A mix of both a tool and an influencing agent
23,Mostly as a tool to assist me in making my own determinations
1176,Mostly as a tool to assist me in making my own determinations
98,A mix of both a tool and an influencing agent
316,A mix of both a tool and an influencing agent
1239,A mix of both a tool and an influencing agent
2305,Mostly as a tool to assist me in making my own determinations
2336,A mix of both a tool and an influencing agent
1320,Mostly as a tool to assist me in making my own determinations
1680,Mostly as a tool to assist me in making my own determinations
1886,Mostly as a tool to assist me in making my own determinations
628,Primarily as an agent trying to influence or persuade me in making determinations
180,Mostly as a tool to assist me in making my own determinations
2220,A mix of both a tool and an influencing agent
238,A mix of both a tool and an influencing agent
170,Primarily as an agent trying to influence or persuade me in making determinations
264,Mostly as a tool to assist me in making my own determinations
1776,A mix of both a tool and an influencing agent
1731,Mostly as a tool to assist me in making my own determinations
2244,Primarily as an agent trying to influence or persuade me in making determinations
1649,Primarily as an agent trying to influence or persuade me in making determinations
2064,Neither as a tool nor as an influencing agent
1959,Mostly as a tool to assist me in making my own determinations
717,Mostly as a tool to assist me in making my own determinations
342,A mix of both a tool and an influencing agent
2133,Mostly as a tool to assist me in making my own determinations
811,Mostly as a tool to assist me in making my own determinations
1547,Mostly as a tool to assist me in making my own determinations
2383,A mix of both a tool and an influencing agent
