participantId,experiment,perceived_improve,pre_conf,post_conf,perf_exp
1898,single,3.0,5.0,5.0,4.0
132,single,4.0,5.0,5.0,5.0
1848,single,5.0,5.0,7.0,6.0
522,single,4.0,3.0,3.0,3.0
2285,single,6.0,5.0,5.0,5.0
1910,single,4.0,7.0,7.0,5.0
1631,single,6.0,5.0,5.0,5.0
716,single,5.0,3.0,4.0,3.0
1040,single,6.0,3.0,5.0,5.0
1893,single,6.0,2.0,4.0,3.0
2128,single,5.0,2.0,3.0,3.0
1199,single,6.0,3.0,4.0,4.0
2014,single,4.0,4.0,4.0,4.0
602,single,5.0,4.0,5.0,5.0
1677,single,6.0,2.0,4.0,5.0
987,single,4.0,6.0,6.0,5.0
2225,single,3.0,2.0,2.0,2.0
1117,single,7.0,3.0,5.0,5.0
1809,single,4.0,4.0,4.0,4.0
877,single,5.0,4.0,4.0,4.0
106,single,6.0,5.0,5.0,5.0
1537,single,5.0,2.0,3.0,4.0
1316,single,4.0,4.0,4.0,4.0
719,single,4.0,4.0,4.0,4.0
2228,single,5.0,5.0,5.0,6.0
549,single,7.0,7.0,7.0,7.0
2102,single,4.0,4.0,5.0,5.0
1557,single,4.0,4.0,5.0,4.0
596,single,4.0,3.0,3.0,4.0
866,single,7.0,6.0,7.0,6.0
367,single,5.0,4.0,4.0,4.0
870,single,4.0,2.0,3.0,2.0
2132,single,6.0,5.0,5.0,4.0
2122,single,5.0,5.0,5.0,4.0
212,single,4.0,6.0,6.0,6.0
1773,single,6.0,2.0,6.0,7.0
1148,single,6.0,6.0,6.0,6.0
1869,single,5.0,5.0,5.0,4.0
548,single,5.0,2.0,4.0,6.0
1831,single,5.0,4.0,5.0,5.0
1363,single,6.0,3.0,5.0,4.0
1530,single,4.0,5.0,2.0,3.0
172,single,5.0,3.0,5.0,5.0
1473,single,4.0,5.0,4.0,4.0
1244,single,4.0,6.0,7.0,5.0
1936,single,5.0,4.0,5.0,4.0
441,single,2.0,2.0,2.0,2.0
533,single,5.0,4.0,4.0,3.0
2019,single,5.0,3.0,4.0,3.0
438,single,6.0,5.0,6.0,6.0
1312,single,4.0,,1.0,5.0
1892,single,5.0,5.0,5.0,5.0
2392,single,4.0,7.0,6.0,7.0
1335,single,5.0,6.0,4.0,5.0
471,single,6.0,4.0,5.0,6.0
581,single,7.0,5.0,7.0,7.0
205,single,7.0,1.0,2.0,4.0
1756,single,2.0,3.0,5.0,3.0
432,single,7.0,5.0,7.0,7.0
1074,single,7.0,2.0,6.0,6.0
1070,single,4.0,6.0,6.0,5.0
1421,single,7.0,7.0,6.0,7.0
1588,single,5.0,4.0,3.0,3.0
1503,single,4.0,3.0,3.0,4.0
2121,single,6.0,3.0,5.0,5.0
1735,single,5.0,1.0,2.0,3.0
2376,single,5.0,5.0,5.0,5.0
2049,single,4.0,1.0,2.0,2.0
607,single,4.0,5.0,4.0,5.0
249,single,6.0,5.0,5.0,6.0
372,single,4.0,7.0,7.0,4.0
2107,single,5.0,2.0,3.0,5.0
2125,single,5.0,4.0,4.0,4.0
1897,single,4.0,4.0,4.0,2.0
560,single,7.0,6.0,7.0,6.0
289,single,4.0,2.0,3.0,4.0
1261,single,5.0,5.0,5.0,4.0
25,single,5.0,5.0,5.0,5.0
1787,single,5.0,3.0,2.0,4.0
1012,single,6.0,5.0,5.0,5.0
2235,single,7.0,2.0,5.0,5.0
1979,single,5.0,6.0,5.0,5.0
1540,single,6.0,6.0,6.0,5.0
1679,single,4.0,3.0,4.0,5.0
965,single,4.0,4.0,3.0,4.0
1407,single,5.0,4.0,4.0,4.0
663,single,4.0,6.0,6.0,4.0
2217,single,4.0,4.0,4.0,4.0
2239,single,3.0,5.0,4.0,3.0
1995,single,4.0,7.0,7.0,2.0
1583,single,3.0,5.0,5.0,4.0
1707,single,3.0,5.0,5.0,4.0
466,single,7.0,3.0,6.0,6.0
2066,single,3.0,4.0,3.0,4.0
506,single,6.0,4.0,5.0,4.0
1704,single,5.0,4.0,5.0,5.0
1478,single,5.0,4.0,5.0,5.0
924,single,4.0,4.0,4.0,5.0
2369,single,5.0,5.0,6.0,4.0
469,single,6.0,5.0,6.0,6.0
35,single,5.0,6.0,6.0,6.0
2134,single,7.0,6.0,7.0,6.0
985,single,4.0,4.0,4.0,5.0
385,single,7.0,6.0,6.0,6.0
817,single,4.0,4.0,5.0,3.0
1946,single,4.0,5.0,5.0,5.0
1989,single,2.0,4.0,5.0,6.0
2196,single,5.0,4.0,4.0,4.0
659,single,5.0,3.0,3.0,4.0
1888,single,5.0,6.0,6.0,5.0
1414,single,6.0,4.0,5.0,6.0
127,single,5.0,4.0,5.0,4.0
1717,single,4.0,2.0,2.0,4.0
2276,single,5.0,5.0,5.0,5.0
514,single,4.0,5.0,6.0,5.0
69,single,5.0,1.0,2.0,2.0
2115,single,5.0,5.0,6.0,6.0
2065,single,6.0,3.0,4.0,4.0
1883,single,4.0,5.0,5.0,6.0
293,single,5.0,5.0,5.0,5.0
2248,single,6.0,5.0,6.0,6.0
1851,single,5.0,2.0,2.0,2.0
1800,single,4.0,5.0,5.0,4.0
312,single,5.0,4.0,5.0,6.0
2236,single,7.0,6.0,7.0,6.0
103,single,5.0,2.0,2.0,3.0
1271,single,5.0,5.0,5.0,5.0
