"cond","x_est","x_lo90","x_hi90","x_lo95","x_hi95","x_lo99","x_hi99","y_est","y_lo90","y_hi90","y_lo95","y_hi95","y_lo99","y_hi99","domain","is_sub","content","session","short"
"Single AI Default",-0.0643995666058578,-0.142917278029016,0.0141181448173008,-0.157973437283845,0.0291743040721291,-0.187422543587915,0.0586234103761992,0.122137834353599,-0.0372912497991943,0.282260858833219,-0.0671936678727294,0.31013095201975,-0.11873819580529,0.366569595286387,"Investment",FALSE,"Default","Single AI","Single Default"
"Single AI Biased",0.083082357458161,0.0173869644699566,0.148777750446365,0.00478954815189521,0.161375166764427,-0.0198503780091043,0.186015092925426,-0.114972658319433,-0.207751097790088,-0.0172449779632189,-0.226831077540396,-0.000973443320887263,-0.261395801757642,0.0289565912858921,"Investment",FALSE,"Biased","Single AI","Single Biased"
"Single AI Averse",0.337903372372154,0.247770798600642,0.428035946143666,0.230487432081744,0.445319312662563,0.196682018012151,0.479124726732156,-0.0820538365459596,-0.211316502783527,0.0545199706809772,-0.234505841982282,0.0801470471061776,-0.29213340846588,0.138811881433373,"Investment",TRUE,"Biased","Single AI","Single Averse"
"Single AI Seeking",-0.182356199743915,-0.283427416003502,-0.0812849834843276,-0.302808321285908,-0.0619040782019215,-0.340716417917369,-0.0239959815704608,-0.1492630976668,-0.283741664242683,-0.0084200727294562,-0.306045562815913,0.0218959423107615,-0.34573737140316,0.0650346861826222,"Investment",TRUE,"Biased","Single AI","Single Seeking"
"Dual AI Default",-0.097037293513293,-0.171761705216067,-0.0223128818105185,-0.186090480500372,-0.00798410652621373,-0.214116859566421,0.0200422725398355,0.105795127306981,-0.0159488062191986,0.224314895195894,-0.0408200753302207,0.244345401957399,-0.0757157951458921,0.287832304232825,"Investment",FALSE,"Default","Dual AI","Dual Default"
"Dual AI Opposition",0.0263149730459584,-0.0512803315589098,0.103910277650827,-0.0661596147471513,0.118789560839068,-0.0952627601723945,0.147892706264311,-0.00945938952449009,-0.127139188326187,0.112652710231316,-0.148221974380879,0.133445262772537,-0.192104249411796,0.168909869443514,"Investment",FALSE,"Biased","Dual AI","Dual Opposition"
"Dual AI Balanced",0.0520395296150314,-0.0277424062961302,0.131821465526193,-0.0430409868452145,0.147120046075277,-0.0729642572667124,0.177043316496775,-0.103500913816659,-0.223936223294028,0.0177203982706919,-0.247161769922765,0.0380894424440673,-0.304031584190638,0.0828209050355347,"Investment",FALSE,"Biased","Dual AI","Dual Balanced"
"Single AI Default",-0.104075539790363,-0.205985981518801,-0.00216509806192526,-0.216925563833137,0.00877448425241111,-0.239492279718684,0.0313412001379578,0.271058145191255,0.131889474996458,0.43730211469153,0.105779000070094,0.477483428230701,0.0693349218831146,0.543394006149236,"Fact-checking",FALSE,"Default","Single AI","Single Default"
"Single AI Biased",0.0379235087728157,-0.0323013984191849,0.108148415964816,-0.0398396951796939,0.115686712725325,-0.0553900696242839,0.131237087169915,0.0334693048220797,-0.054730357203804,0.126505078541329,-0.0747454210943635,0.143654218827116,-0.109418123250257,0.180580490260818,"Fact-checking",FALSE,"Biased","Single AI","Single Biased"
"Dual AI Default",-0.0150250488077298,-0.167862788404029,0.13781269078857,-0.184269164479861,0.154219066864401,-0.218113055130925,0.188062957515465,0.0393848360265113,-0.155547978223452,0.243696405576147,-0.195836926467096,0.288604606836,-0.278250851040241,0.355198765161054,"Fact-checking",FALSE,"Default","Dual AI","Dual Default"
"Dual AI Opposition",0.0155890735949516,-0.101816421604656,0.132994568794559,-0.114419321338071,0.145597468527974,-0.140417211334775,0.171595358524678,-0.360959673950897,-0.557163339937363,-0.189362406933649,-0.594867557090215,-0.162249600598938,-0.662740403924879,-0.110715519975331,"Fact-checking",FALSE,"Biased","Dual AI","Dual Opposition"
"Dual AI Balanced",0.0655880062303254,-0.0618737836290521,0.193049796089703,-0.0755561768995564,0.206732189360207,-0.103780899992059,0.23495691245271,0.0170473879110513,-0.145432158396758,0.174735112914719,-0.181688644367401,0.204616557904652,-0.239012423203398,0.255670383535509,"Fact-checking",FALSE,"Biased","Dual AI","Dual Balanced"
