participantId,priming_condition,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
472,risk-averse,wave3,16,2026-06-09,-0.025460624570616,-0.0230094849138615
2335,risk-averse,wave3,16,2026-06-09,-0.0762716638985329,-0.0796879835689831
137,risk-seeking,wave3,16,2026-06-09,-0.0138527073764299,-0.0104183875065416
2000,risk-seeking,wave3,16,2026-06-09,-0.0604661026082685,-0.0535946504911763
346,risk-seeking,wave3,16,2026-06-09,0.0251619031709434,0.0110795768785541
1663,risk-seeking,wave3,16,2026-06-08,-0.020428422279255,-0.020428422279255
652,risk-averse,wave3,16,2026-06-08,-0.0792010329633877,-0.0848522711592039
1796,risk-averse,wave3,16,2026-06-08,-0.028534146490907,-0.028534146490907
1006,risk-averse,wave3,16,2026-06-08,-0.0680897984190205,-0.0574444402628461
650,risk-seeking,wave3,16,2026-06-08,-0.0378999920281264,-0.0416926712683019
1999,risk-averse,wave3,16,2026-06-08,-0.0164564372319069,-0.0531876776461191
2190,risk-seeking,wave3,16,2026-06-08,-0.1102039068135172,-0.0930887209427158
819,risk-seeking,wave3,16,2026-06-08,-0.017589216089957,-0.0139169146772935
1211,risk-averse,wave3,16,2026-06-08,-0.0212402569272191,-0.0212402569272191
824,risk-seeking,wave3,16,2026-06-08,-0.0084643015421034,-0.0228630670985095
1830,risk-averse,wave3,16,2026-06-08,-0.0101503476070487,-0.0493884939568921
873,risk-averse,wave3,16,2026-06-08,-0.0285500823222797,-0.0714521805064068
1,risk-averse,wave3,16,2026-06-08,-0.0230595327107365,-0.0230595327107365
1210,risk-seeking,wave3,16,2026-06-08,-0.0459179546250777,-0.0460039324942333
1543,risk-averse,wave3,16,2026-06-08,-0.0441913855454978,-0.0412276399060468
1984,risk-seeking,wave3,16,2026-06-08,-0.0607234141844409,-0.0607234141844409
1475,risk-averse,wave3,16,2026-06-08,-0.0625840870262436,-0.0625840870262436
2203,risk-averse,wave3,16,2026-06-08,-0.0321227760120073,-0.047151381242807
1797,risk-averse,wave3,16,2026-06-08,-0.0497176523805925,-0.0473429406885688
423,risk-averse,wave3,16,2026-06-08,0.0097472144557845,0.0097472144557845
1674,risk-averse,wave3,16,2026-06-08,-0.0603919631955369,-0.0666934444053419
229,risk-seeking,wave3,16,2026-06-08,-0.0717416392970375,-0.0717416392970375
88,risk-averse,wave3,16,2026-06-08,-0.0323268629140449,-0.0555709098142656
713,risk-averse,wave3,16,2026-06-08,-0.0919622429497926,-0.0919622429497926
1241,risk-seeking,wave3,16,2026-06-08,-0.0312430673339435,-0.0488463534013833
1379,risk-seeking,wave3,16,2026-06-08,-0.0632987663564865,-0.0904942887716874
1391,risk-seeking,wave3,16,2026-06-08,-0.109104793297023,-0.1104968416341111
2141,risk-averse,wave3,16,2026-06-08,-0.0537664526984442,-0.067090507939014
2320,risk-seeking,wave3,16,2026-06-08,-0.0282343232397714,-0.0409118660533214
619,risk-averse,wave3,16,2026-06-08,-0.0395797077551843,-0.0617207675784381
1218,risk-averse,wave3,16,2026-06-08,-0.0159021537369626,-0.0455013316139866
1233,risk-seeking,wave3,16,2026-06-08,-0.0529499968864636,-0.0599318564905284
341,risk-seeking,wave3,16,2026-06-08,-0.0271418207930046,-0.032392240531755
2294,risk-seeking,wave3,16,2026-06-08,-0.0264194357536845,-0.0515884524111656
796,risk-averse,wave3,16,2026-06-08,-0.0581495628433933,-0.0609807780810003
2172,risk-averse,wave3,16,2026-06-08,-0.0174383336685882,-0.0017980794740223
1369,risk-seeking,wave3,16,2026-06-08,-0.0833580136008979,-0.0891363698846151
84,risk-seeking,wave3,16,2026-06-08,-0.0521636636143831,-0.0633391429779141
1065,risk-averse,wave3,16,2026-06-08,-0.0607104424921605,-0.0663594479924949
1845,risk-averse,wave3,16,2026-06-08,-0.0409621088639326,-0.0707028441242292
2119,risk-seeking,wave3,16,2026-06-08,-0.0472959702738645,-0.0429452151473869
850,risk-averse,wave3,16,2026-06-08,-0.0410605195704489,-0.0378557211692889
59,risk-seeking,wave3,16,2026-06-08,-0.0451080460560542,-0.0477835139172165
