participantId,experiment,n_reply_turns
1898,single,1
132,single,0
1848,single,2
522,single,2
2285,single,1
1910,single,0
1631,single,2
716,single,1
1040,single,1
1893,single,1
2128,single,1
1199,single,1
2014,single,1
602,single,1
1677,single,0
987,single,0
2225,single,2
1117,single,4
1809,single,1
877,single,0
106,single,2
1537,single,2
1316,single,0
719,single,0
2228,single,0
549,single,4
2102,single,0
1557,single,0
596,single,2
866,single,0
367,single,0
870,single,0
2132,single,0
2122,single,1
212,single,1
1773,single,1
1148,single,0
1869,single,1
548,single,0
1831,single,1
1363,single,1
1530,single,0
172,single,1
1473,single,1
1244,single,0
1936,single,0
441,single,1
533,single,2
2019,single,0
438,single,4
1312,single,0
1892,single,1
2392,single,2
1335,single,1
471,single,0
581,single,1
205,single,0
1756,single,2
432,single,0
1074,single,0
1070,single,2
1421,single,1
1588,single,0
1503,single,1
2121,single,0
1735,single,0
2376,single,1
2049,single,1
607,single,1
249,single,3
372,single,1
2107,single,0
2125,single,1
1897,single,1
560,single,0
289,single,0
1261,single,1
25,single,0
1787,single,1
1012,single,3
2235,single,1
1979,single,1
1540,single,0
1679,single,1
965,single,0
1407,single,0
663,single,1
2217,single,2
2239,single,0
1995,single,0
1583,single,0
1707,single,0
466,single,1
2066,single,1
506,single,1
1704,single,0
1478,single,0
924,single,0
2369,single,0
469,single,1
35,single,4
2134,single,0
985,single,0
385,single,1
817,single,4
1946,single,1
1989,single,1
2196,single,1
659,single,0
1888,single,2
1414,single,0
127,single,0
1717,single,0
2276,single,0
514,single,1
69,single,0
2115,single,1
2065,single,1
1883,single,0
293,single,0
2248,single,0
1851,single,0
1800,single,3
312,single,1
2236,single,2
103,single,3
1271,single,0
1672,single,2
2112,single,0
1154,single,1
1652,single,1
2332,single,1
2173,single,4
888,single,1
1408,single,0
1601,single,1
1453,single,0
2317,single,0
299,single,3
1835,single,2
165,single,2
502,single,2
176,single,0
62,single,0
1568,single,0
643,single,1
2017,single,0
2041,single,0
818,single,1
2277,single,1
1141,single,2
2367,single,1
996,single,1
1937,single,1
2096,single,3
1621,single,0
789,single,1
1116,single,1
104,single,0
1171,single,2
301,single,1
812,single,0
407,single,1
1612,single,1
2328,single,0
2205,single,0
1699,single,0
1726,single,1
121,single,2
1748,single,1
1404,single,1
1405,single,3
2358,single,2
1064,single,2
1184,single,1
841,single,1
1903,single,0
855,single,4
1872,single,0
2108,single,0
1099,single,1
1525,single,1
445,single,0
1535,single,1
2016,single,2
1906,single,0
1071,single,1
1327,single,1
554,single,1
75,single,2
690,single,1
1539,single,0
2091,single,1
2139,single,2
1804,single,0
1332,single,2
2123,single,1
1362,single,1
898,single,1
644,single,0
1133,single,0
800,single,1
1522,single,1
738,single,0
174,single,1
483,single,1
1920,single,4
1991,single,0
1103,single,0
805,single,0
2318,single,2
2118,single,2
2187,single,1
2307,single,0
2331,single,0
396,single,0
1911,single,0
1864,single,1
2261,single,0
1718,single,1
1871,single,0
600,single,3
1318,single,1
606,single,1
411,single,0
1083,single,0
1088,single,1
860,single,2
995,single,0
1491,single,1
474,single,1
1104,single,1
2300,single,4
415,single,0
1452,single,0
2072,single,0
2170,single,0
742,single,2
2264,single,1
703,single,0
188,single,0
759,single,0
764,single,4
1967,single,0
70,single,1
18,single,1
1089,single,0
2401,single,4
1434,single,1
1608,single,1
2214,single,0
1283,single,1
1002,single,2
1614,single,4
592,single,2
890,single,0
896,single,0
2135,single,0
1383,single,1
1257,single,1
2342,single,1
921,single,0
2403,single,0
1774,single,1
2338,single,0
1346,single,0
246,single,0
1949,single,0
2109,single,3
89,single,1
1616,single,1
1307,single,0
1619,single,1
2333,single,2
394,single,1
130,single,0
2378,single,4
1227,single,0
476,single,1
1204,single,1
436,single,1
575,single,0
1364,single,0
1236,single,3
2293,single,1
797,single,0
547,single,0
2185,single,0
1914,single,0
535,single,1
1017,single,1
1933,single,1
360,single,0
2222,single,1
867,single,2
321,single,2
640,single,0
479,single,0
2400,single,1
1932,single,3
1254,single,2
813,single,0
543,single,1
2316,single,3
2380,single,1
120,single,2
266,single,4
19,single,1
794,single,0
1358,single,1
1121,single,0
422,single,2
1918,single,0
67,single,2
1945,single,2
2407,single,2
93,single,1
883,single,2
624,single,4
974,single,0
665,single,3
994,single,1
454,single,1
1178,single,1
9,single,0
2001,single,2
1494,single,0
1009,single,0
1763,single,2
1251,single,1
185,single,3
1620,single,0
991,single,1
737,single,3
763,single,0
820,single,1
393,single,1
1091,single,0
2035,single,0
175,single,0
2166,single,0
1032,single,2
1691,single,2
2303,single,1
1837,single,4
648,single,0
871,single,1
2157,single,2
16,single,1
1109,single,0
352,single,0
60,single,2
791,single,0
2349,single,0
929,single,1
214,single,0
1124,single,2
2036,single,0
1349,single,2
1315,single,0
1156,single,1
2372,single,0
2272,single,0
36,single,2
1309,single,1
1090,single,1
1768,single,1
545,single,0
2073,single,1
1465,single,2
97,single,1
847,single,1
561,single,1
1686,single,0
1165,single,2
122,single,0
636,single,1
704,single,1
942,single,0
2030,single,0
189,single,3
2050,single,3
1873,single,1
2169,single,1
1172,single,1
1558,single,0
1417,single,1
350,single,1
1904,single,0
721,single,1
2255,single,0
2405,single,0
355,single,1
116,single,1
694,single,1
814,single,0
1929,single,0
618,single,0
2099,single,1
1523,single,1
1048,single,0
1931,single,1
689,single,0
633,single,0
2,single,1
1100,single,0
1825,single,2
78,single,1
917,single,0
437,single,1
1567,single,2
2104,single,1
38,single,0
1531,single,1
2279,single,0
576,single,0
1464,single,1
1386,single,4
1730,single,1
325,single,4
1045,single,0
426,single,1
1610,single,4
236,single,3
1484,single,0
1220,single,0
247,single,1
1439,single,3
1890,single,0
1565,single,1
397,single,0
730,single,0
1337,single,0
627,single,0
345,single,0
1901,single,0
1122,single,2
1964,single,2
1384,single,1
882,single,3
1977,single,1
126,single,1
1585,single,2
1348,single,0
